Global cluster,OCHA_Code,Sub-domain,Indicator,Indicator_Local,Unit of Measurement,Denominator,Disaggregation,Indicator used for response monitoring?,Key indicator,Numerator,Sectoral objective,Standards,Strategic objective,Standards,Indicator_Types,Unit_Description,
Education,E-2-03,E2.1 Curricula,Percentage of emergency affected learning spaces/ schools in target areas where children and youth receive key messages on DRR,,Facility,Total # of affected learning spaces/schools,"by geographic location ( ie administrative boundary)  and school type (sex/primary, secondary, tertiary)",Yes,No,# of affected learning spaces/schools where children and youth receive key messages on  DRR in target areas,,INEE,,Specific to Country,"Baseline, Outcome, Output",Schools/Learning Spaces,
Education,E-2-04,E2.1 Curricula,Percentage of teachers/other educational personnel in affected areas trained in psycho-social support,,Individual,Total # of affected teachers/other educational personnel,"by geographic location ( ie administrative boundary)  and school level (primary, secondary, tertiary), sex",Yes,No,# of affected teachers/other educational personnel trained in pycho-social support,,INEE,,Specific to Country,Output,Education Personnel,
Education,E-2-05,E2.1 Curricula,Percentage of teachers/other educational personnel in affected areas trained in emergency life skills,,Individual,Total # of affected teachers/other educational personnel,"by geographic location ( ie administrative boundary)  and school level (primary, secondary, tertiary), sex",Yes,No,# of affected teachers/other educational personnel trained in emergency life skills,,INEE,,Specific to Country,Output,Education Personnel,
Education,E-2-06,E2.1 Curricula,Percentage of teachers/other educational personnel in affected areas trained in DRR,,Individual,Total # of affected teachers/other educational personnel,"by geographic location ( ie administrative boundary)  and school level (primary, secondary, tertiary), sex",Yes,No,# of affected teachers/other educational personnel trained in DRR,,INEE,,Specific to Country,Output,Education Personnel,
Education,E-2-07,E2.1 Curricula,Percentage of affected schools/learning spaces with DDR interventions,,Facility,Total number of affected schools/learning spaces,"by geographic location ( ie administrative boundary)  and school type (sex/primary, secondary, tertiary)",Yes,No,Number of affected schools/learning spaces with DDR interventions,,INEE,,Specific to Country,"Baseline, Outcome",Schools/Learning Spaces,
Education,E-2-08,E2.1 Curricula,Percentage of affected schools/learning spaces with peacebuilding programs,,Facility,Total number of affected schools/learning spaces,"by geographic location ( ie administrative boundary)  and school type (sex/primary, secondary, tertiary)",Yes,No,Number of affected schools/learning spaces with peacebuilding programs,,INEE,,Specific to Country,Output,Schools/Learning Spaces,
Education,E-2-09,E2.1 Curricula,Percentage of affected schools/learning spaces promoting health and hygiene including sexual and reproductive health and HIV AIDS,,Facility,Total number of affected schools/learning spaces,"by geographic location ( ie administrative boundary)  and school type (sex/primary, secondary, tertiary)",Yes,Yes,Number of affected schools/learning spaces promoting health and hygiene including sexual and reproductive health and HIV AIDS,,INEE,,Specific to Country,"Baseline, Outcome, Output",Schools/Learning Spaces,
Education,E-2.10,E2.1 Curricula,Percentage of affected s affected schools/learning spaces with active recreational sports education programs for boys and girls,,Facility,Total number of affected schools/learning spaces,"by geographic location ( ie administrative boundary)  and school type (sex/primary, secondary, tertiary)",Yes,Yes,Number of affected schools/learning spaces with active recreational sports education programs for boys and girls,,INEE,,Specific to Country,"Baseline, Outcome, Output",Schools/Learning Spaces,
Education,E-3-1,E3.2 Recruitment and Selection,Percentage of affected teachers teaching in affected area,,Individual,Total # number of affected teachers,"by geographic location ( ie administrative boundary)  and school level (primary, secondary, tertiary), sex",Yes,Yes,# of affected teachers teaching,,INEE,,Specific to Country,"Outcome, Output",Education Personnel,
Education,E-3-2,E3.2 Recruitment and Selection,Ratio of affected teachers teaching in affected area,,Individual,# affected Male Teachers teaching,"by geographic location ( ie administrative boundary)  and school level (primary, secondary, tertiary), sex",Yes,Yes,# of affected  Female Teachers teaching,,INEE,,Specific to Country,"Baseline, Outcome",Education Personnel,
Education,E-3-3,E3.2 Recruitment and Selection,Number of new teachers required for affected area,,Individual,n/a,"Geography( ie. Administrative boundary), sex and school level (ECD/ primary/ secondary/ tertiary/ non formal)",Yes,Yes,# of new teachers required for affected area,,INEE,,Specific to Country,"Baseline, Outcome",Education Personnel,
Education,E-3-4,E3.2 Recruitment and Selection,Number of new facilitators/volunteers/peer educators recruited for affected area,,Individual,n/a,"Geography (ie. Administrative boundary), sex and job title, school level (ECD/ primary/ secondary/ tertiary/ non formal)",Yes,No,# of new facilitators/volunteers/peer educators recruited for affected area,,INEE,,Specific to Country,Output,Education Personnel,
Education,E-3-5,E3.3 Supervision,Number and percentage of surveyed active-duty education staff who have signed the adopted code of conduct,,Individual,Total # of active-duty education staff who have signed the code of conduct,"Geography (ie. Administrative boundary), sex and job title, school level (ECD/ primary/ secondary/ tertiary/ non formal)",Yes,No,# of active-duty education staff surveyed,,Child Protection,,Specific to Country,"Baseline, Outcome",Education Personnel,
Education,E-3-6,E3.3 Supervision,Percentage of affected Ministry of Education Office facilities,,Facility,Total #  of  Education Office facilities  in affected area,"Geography (ie. Administrative boundary), sex and job title, school level (ECD/ primary/ secondary/ tertiary/ non formal)",Yes,No,#  of affected Education Office facilities in affected area,,INEE,,Specific to Country,"Baseline, Outcome",Education Facilities,
Education,E-4-1,E4.1 Law and Policy Formulation,Percentage of MoE officials at sub-national level in emergency affected areas trained in EiE,,Individual,# of MoE officials in emergency affected areas,"Geography location ( ie. Administrative boundary), sex , Level of personnel (management, teacher)",Yes,No,# of MoE officials at sub-national level in emergency affected areas trained in Education in Emergencies (EIE),,INEE,,Specific to Country,"Baseline, Outcome, Output",Public sector employee,
Education,E-4-2,E4.1 Law and Policy Formulation,Percentage of MoE officials at sub-national level in emergency affected areas attending training,,Individual,# of MoE officials in emergency affected areas,"Geography ( ie administrative boundary), sex , Level of personnel (management, teacher)",Yes,No,# of MoE officials at sub-national level in emergency affected areas trained in Education in Emergencies (EIE),,INEE,,Specific to Country,"Baseline, Outcome, Output",Public sector employee,
Food Security,F-1,F3 Food Access,Change in food consumption patterns,,Household,,"Geography; Sex; Age; Disabilities; Context specific (HH, Community, Individual); Any other relevant criteria, such as urban/rural, community, household, religious, ethnic or political identities)",Yes,,,,"LEGS Chapter 3: Initial Assessment Checklists 1 and 2, Sphere: Food security and nutrition assessment standard 1: Food security",,Signficant Change. To be compared with pre-crisis baseline,"Baseline, Outcome",Household,
Food Security,F-10,F6 Availability,Change in availability of key commodities in markets,,Other,,,,,,,LEGS Chapter 3: Initial Assessment Checklists 1 and 2,,,,number of food commudities,
Food Security,F-11,F6 Availability,Percentage of Households by duration of staple food stock,,Household,Pending Food Cluster review in 2013.,"Geography; Sex; Age; Disabilities; Any other relevant criteria, such as urban/rural, community, household, religious, ethnic or political identities)",Yes,,Pending Food Cluster review in 2013.,,LEGS Chapter 3: Initial Assessment Checklists 1 and 2,,n/a,"Baseline, Outcome",Households,
Food Security,F-12,F6.1 Food Availability and Agriculture,Change in production compared to previous year’s harvest by commodity,,Other,Pending Food Cluster review in 2013.,"Geography; Sex; Age; Disabilities; Any other relevant criteria, such as urban/rural, community, household, religious, ethnic or political identities)",Yes,,Pending Food Cluster review in 2013.,,,,Significant Change. To be compared with pre-crisis baseline,"Baseline, Outcome",,
Food Security,F-13,F6 Availability,Percentage of Households/ communities unable to plant for next season,,,Pending Food Cluster review in 2013.,"Geography; Sex; Age; Disabilities; Any other relevant criteria, such as urban/rural, community, household, religious, ethnic or political identities)",Yes,,Pending Food Cluster review in 2013.,,,,n/a,"Baseline, Outcome",,
Food Security,F-14,F6 Availability,Change in herd sizes,,,Pending Food Cluster review in 2013.,"Geography; Sex; Age; Disabilities; Any other relevant criteria, such as urban/rural, community, household, religious, ethnic or political identities)",Yes,,Pending Food Cluster review in 2013.,,"LEGS Chapter 3: Initial Assessment Checklist 2, LEGS: Veterinary Support Standard 1: Assessment and planning",,n/a,"Baseline, Outcome",Household,
Food Security,F-15,F6 Availability,Number of reported animal disease outbreaks,,,Pending Food Cluster review in 2013.,"Geography; Sex; Age; Disabilities; Any other relevant criteria, such as urban/rural, community, household, religious, ethnic or political identities)",Yes,,Pending Food Cluster review in 2013.,,"LEGS Chapter 3: Initial Assessment Checklist 2, LEGS:  Provision of Water Standard 1: Assessment and planning, LEGS: Veterinary Support Standard 1: Assessment and planning",,n/a,"Baseline, Outcome",Number (animals),
Food Security,F-16,F6 Availability,Percentage of Households with suitable daily water and fodder consumption for livestock,,,Pending Food Cluster review in 2013.,"Geography; Sex; Age; Disabilities; Any other relevant criteria, such as urban/rural, community, household, religious, ethnic or political identities)",Yes,,Pending Food Cluster review in 2013.,,"LEGS Chapter 3: Initial Assessment Checklist 2, LEGS: Ensuring Feed Supplies Standard 1: Assessment and planning, LEGS:  Provision of Water Standard 1: Assessment and planning",,n/a,"Baseline, Outcome",Households,
Food Security,F-17,F7 Utilization,Percentage of individuals having daily access to an appropriate amount of safe water,,Individual,,,,,,,"LEGS: Water Points Standard 1: Location of water points, LEGS: Water Point Standard 2: Water point rehabilitation and establishment, LEGS: Water Standard 1: Assessment and planning, Sphere: Water supply standard 1: Access and water quantity, Sphere: Water supply standard 2: Water quality",,,,,
Food Security,F-18,F7 Utilization,Percentage of HHs with capacity to prepare food safely,,,,,,,,,Sphere: Food security - food transfers standard 6: Food use,,,,Households,
Food Security,F-19,F7 Utilization,Percentage of households that have changed intra-household food distribution,,,Pending Food Cluster review in 2013.,"Geography; Sex; Age; Disabilities; Any other relevant criteria, such as urban/rural, community, household, religious, ethnic or political identities)",Yes,,Pending Food Cluster review in 2013.,,"LEGS Chapter 3: Initial Assessment Checklist 2, Sphere: Food security - livelihoods standard 2: Income and employment (Key indicator 3 and Guidance Note 8)",,n/a,"Baseline, Outcome",Households,
Food Security,F-2,F3 Food Access,Change in food source,,Households,,"Geography; Sex; Age; Disabilities; Any other relevant criteria, such as urban/rural, community, household, religious, ethnic or political identities)",Yes,,,,LEGS Chapter 3: Initial Assessment Checklist 2,,Signficant Change. To be compared with pre-crisis baseline,"Baseline, Outcome",Household,
Food Security,F-3,F3 Food Access,% change in key food & non-food commodity prices,,Other,,,No,,,,"LEGS Chapter 3: Initial Assessment Checklist 2, Sphere: Food security - cash and voucher transfers standard 1: Access to available goods and services, Sphere: Food security chapter, Annex 1: Food Security and livelihoods assessment checklists (baseline)",,,,Prices,
Food Security,F-4,F3 Food Access,Coping Strategies,,Household,,,,,,,"LEGS Chapter 3: Initial Assessment Checklist 2, Sphere: Food security and nutrition assessment standard 1: Food security (Guidance note 8 on coping strategies), Sphere: Food security chapter, Annex 1: Food Security and livelihoods assessment checklists (baseline), Sphere: Food security - livelihoods standards, Sphere: Food security standard 1: General food security (Guidance Note 3 on Risks associated with coping strategies)",,,,Household,
Food Security,F-5,F3 Food Access,Change in main source of income,,Household,,"Geography; Sex; Age; Disabilities; Any other relevant criteria, such as urban/rural, community, household, religious, ethnic or political identities)",Yes,,,,"LEGS Chapter 3: Initial Assessment Checklist 2, Sphere: Food security chapter, Annex 1: Food Security and livelihoods assessment checklists (baseline), Sphere: Food security - livelihoods standards",,Signficant Change. To be compared with pre-crisis baseline,"Baseline, Outcome",Household,
Food Security,F-6,F3 Food Access,Change in ability to meet survival and livelihoods protection thresholds,,Households,,,,,,,LEGS Chapter 3: Initial Assessment Checklist 2,,,,Household,
Food Security,F-7,F3 Food Access,Expenditure patterns,,Household,,"Geography; Sex; Age; Disabilities; Any other relevant criteria, such as urban/rural, community, household, religious, ethnic or political identities)",Yes,,,,"LEGS Chapter 3: Initial Assessment Checklist 2, Sphere: Food security - cash and voucher transfers standard 1: Access to available goods and services",,Signficant Change. To be compared with pre-crisis baseline,"Baseline, Outcome",Household,
Food Security,F-8,F3 Food Access,change in HH ownership of productive assets,,Household,,"Geography; Sex; Age; Disabilities; Any other relevant criteria, such as urban/rural, community, household, religious, ethnic or political identities)",Yes,,,,"LEGS Chapter 3: Initial Assessment Checklist 2, Sphere: Food security and nutrition assessment standard 1: Food security, Sphere: Food security standard 1: General food security (Guidance Note 3 on Risks associated with coping strategies)",,n/a,"Baseline, Outcome",Households,
Food Security,F-9,F3 Food Access,Change in access to functioning markets,,,,"Geography; Sex; Age; Disabilities; Any other relevant criteria, such as urban/rural, community, household, religious, ethnic or political identities)",Yes,,,,LEGS Chapter 3: Initial Assessment Checklist 2,,n/a,"Baseline, Outcome",Village,
Food Security,F-Output-1,F1 Food Assistance,"Number of beneficiaries receiving food, non-food items, cash transfers and vouchers as % of planned",,Individual,,"Geography; Sex; Age; Disabilities; Any other relevant criteria, such as urban/rural, community, household, religious, ethnic or political identities)",Yes,,,,"LEGS: Core Standard 6: Monitoring, Evaluation and Livelihoods Impact, SPHERE Food security and nutrition chapter",,n/a,Output,,
Food Security,F-Output-10,F8 Agriculture and Livestock,"Quantity of input items distributed, as % of planned",,Other,,,,,,,"LEGS: Core Standard 6: Monitoring, Evaluation and Livelihoods Impact, SPHERE Food security and nutrition chapter",,,,Agricultural inputs,
Food Security,F-Output-11,F1 Food Assistance,Number of people trained as % of planned (e.g. best nutrition practice or land conservation etc.),,Individual,Total planned people,,,,Actual number of people,,"LEGS: Core Standard 6: Monitoring, Evaluation and Livelihoods Impact",,,,,
Food Security,F-Output-12,F1 Food Assistance,Number of market system actors involved in emergency response,,Individual,,,,,,,,,,,"Traders, retailes, or other",
Food Security,F-Output-13,F1 Food Assistance,"Number of institutional sites assisted (e.g. schools, health centres), as % of planned",,Facility,,,,,,,,,,,"School, health centres or other",
Food Security,F-Output-2,F1 Food Assistance,Quantity of food/value of cash/voucher received by beneficiary HH (and proportion in relation to food basket),,Other,Total planned food basket per HH,"Geography; Sex; Age; Disabilities; Any other relevant criteria, such as urban/rural, community, household, religious, ethnic or political identities)",Yes,,Actual received by HH,,"LEGS: Core Standard 6: Monitoring, Evaluation and Livelihoods Impact",,n/a,Output,n/a,
Food Security,F-Output-3,F1 Food Assistance,"Quantity of food assistance distributed, as % of planned",,Other,Total quantity planned,,,,Actual distributed,,,,,,"Tons, or value of cash or vouchers",
Food Security,F-Output-4,F1 Food Assistance,"Total value of cash or vouchers for food and basic needs distributed, as % of planned",,Other,Total quantity planned,,,,Actual distributed,,"LEGS: Core Standard 6: Monitoring, Evaluation and Livelihoods Impact",,,,Value of cahs and/or vouchers,
Food Security,F-Output-5,F1 Food Assistance,Frequency of food/cash assistance to beneficiary HH (months),,Other,,,,,,,,,,,Number of months,
Food Security,F-Output-6,F1.4 Livelihood Recovery,Total value of cash and vouchers for livelihood recovery distributed to targeted beneficiaries as % of planned,,Value of cash and/or vouchers,,,,,,,"LEGS: Core Standard 6: Monitoring, Evaluation and Livelihoods Impact",,,,,
Food Security,F-Output-7,F1 Food Assistance,"Number of assets built, restored or maintained to targeted beneficiaries, by type and unit of measure (e.g. hectares of land where conservation activities were implemented, length and type of irrigation systems restored, hectares recovered for farming)",,Other,,,,,,,"LEGS: Core Standard 6: Monitoring, Evaluation and Livelihoods Impact",,,,Number of assets,
Food Security,F-Output-8,F8 Agriculture and Livestock,Number of beneficiaries receiving agricultural inputs as % of planned beneficiaries,,Individual,Pending Food Cluster review in 2013.,"Geography; Sex; Age; Disabilities; Any other relevant criteria, such as urban/rural, community, household, religious, ethnic or political identities)",Yes,,Pending Food Cluster review in 2013.,,"LEGS: Core Standard 6: Monitoring, Evaluation and Livelihoods Impact",,n/a,Output,Number,
Food Security,F-Output-9,F8 Agriculture and Livestock,Germination rates/harvest quantities as % of planned,,Other,Pending Food Cluster review in 2013.,"Geography; Sex; Age; Disabilities; Any other relevant criteria, such as urban/rural, community, household, religious, ethnic or political identities)",Yes,,Pending Food Cluster review in 2013.,,,,n/a,Output,n/a,
Health,H-A.1.a,H1 General clinical services & essential trauma care,Number of functional basic health units/10 000 population,,Facility,"The total population for the same administrative or health area, at the same point in time",Administrative area; health area; public/private; fixed/mobile; support/no support from humanitarian organisations;,Yes,Yes,"The number of basic health units, i.e. all public and private health facilities, defined as a static facility (a designated building) or mobile clinics in which general health services are offered, in a defined administrative or health area, at a given point in time",,Sphere: Health systems standard 1: Health service delivery (Key indicator 1),,"1 Basic Health Unit per 10,000 population Follow-up of trends","Baseline, Output",,
Health,H-A.1.b,H1 General clinical services & essential trauma care,Number of functional health centres/50 000 population,,Facility,"The total population for the same administrative or health area, at the same point in time",Administrative area; health area; public/private; fixed/mobile; support/no support from humanitarian organisations;,Yes,Yes,"The number of basic health units, i.e. all public and private health facilities, defined as a static facility (a designated building) or mobile clinics in which general health services are offered, in a defined administrative or health area, at a given point in time",,Sphere: Health systems standard 1: Health service delivery (Key indicator 1),,1 Health Centre per 50 000 population Follow-up of trends,"Baseline, Output",,
Health,H-A.1.c,H1 General clinical services & essential trauma care,Number of functional district-rural hospitals/250 000 population,,Facility,"The total population for the same administrative or health area, at the same point in time",Administrative area; health area; public/private; support/no support from humanitarian organisations;,Yes,Yes,"The number of district/rural hospitals, i.e. all public and private district-rural hospitals, including field hospitals, in a defined administrative or health area, at a given point in time",,Sphere: Health systems standard 1: Health service delivery (Key indicator 1),,1 Rural/District Hospital per 250 000 population Follow-up of trends,"Baseline, Output",,
Health,H-A.2,H4.2 Maternal and newborn care,"Number of functional health facilities with Comprehensive Emergency Obstetric Care (CEmOC) per 500,000 population",,Facility,"The total population for the same administrative or health area, at the same point in time",Administrative area; health area; public/private; support/no support from humanitarian organisations,Yes,Yes,"Number of functional health facilities, i.e. all public and private health facilities, with Comprehensive Emergency Obstetric Care in a defined administrative or health area at a certain point in time",,Sphere: Essential health services – sexual and reproductive health standard 1: Reproductive health (Key indicator 4),,">= 1 health facilities with Comprehensive Emergency Obstetric Care/ 500,000 population; Follow-up of trends","Baseline, Output",,
Health,H-A.2a,H4.2 Maternal and newborn care,"Number of functional health facility with Basic Emergency Obstetric Care (BEmOC) per 500,000 population",,Facility,"The total population for the same administrative or health area, at the same point in time",Administrative area; health area; public/private; support/no support from humanitarian organisations,Yes,Yes,"Number of functional health facilities, i.e. all public and private health facilities, with Basic Emergency Obstetric Care in a defined administrative or health area at a certain point in time",,Sphere: Essential health services – sexual and reproductive health standard 1: Reproductive health (Key indicator 3),,">= 4 health facilities with Basic Emergency Obstetric Care/ 500,000 population Follow-up of trends","Baseline, Output",,
Health,H-A.5,H1 General clinical services & essential trauma care,"Number of inpatient beds per 10,000 population",,Bed,"The total population for the same administrative or health area, at the same point in time",Administrative area; health area; public/private; support/no support from humanitarian organisations;,Yes,Yes,"Number of inpatient beds in functional health facilities, i.e. all public and private health facilities, in a defined administrative or health area at a given point in time",,Sphere: Health systems standard 1: Health service delivery (Key indicator 1),,>10 inpatient beds per 10 000 population Follow-up of trends,"Baseline, Output",,
Health,H-A.6,H4.3 Sexual violence,Percentage of functional health facilities with clinical management of rape survivor services,,Facility,Total number of functional health facilities in the same administrative or health area at the same point in time,Administrative area; health area; public/private; support/no support from humanitarian organisations,Yes,Yes,"Number of functional health facilities, i.e. all public and private health facilities, with clinical management of rape survivors in a defined administrative or health area at a certain point in time",,Sphere: Essential health services – sexual and reproductive health standard 1: Reproductive health (Key indicator 1),,100% of health facilities with clinical management of rape survivor services Follow-up of trends,"Baseline, Output",,
Health,H-A.7,H1 General clinical services & essential trauma care,"Number of health workers per 10,000 population",,Individual,The total population for the same geographical or health area at a certain point in time,"Administrative area; health area; sex of health workers; level of health workers (medical doctor, nurse, midwife); support/no support from humanitarian organisations;",Yes,Yes,Total number of health workers (medical doctor + nurse + midwife) in a defined administrative or health area at a certain point in time,,Sphere: Health systems standard 2: Human resources (Key indicator 1),,> 22 health workers per 10 000 population Follow-up of trends,"Baseline, Output",,
Health,H-A.8,H1 General clinical services & essential trauma care,"Number of Community Health Workers per 10,000 population",,Individual,The total population for the same administrative or health area at the same point in time,Administrative Area; health area; sex of community health workers; support/no support from humanitarian organisations;,Yes,Yes,Total number of community health workers in crisis affected areas in a defined administrative or health area at a given point in time,,Sphere: Health systems standard 2: Human resources (Key indicator 1),,>=10 community health workers per 10 000 population Follow-up of trends,"Baseline, Output",,
Health,H-A.9,"H1 General clinical services & essential trauma care, H2 Child health, H3 Communicable diseases, H4 Sexual and Reproductive Health",Number and percentage of functional health facilities providing selected relevant services,,Facility,"The total population for the same administrative or health area, at the same point in time",administrative area; health area; health services; support/no support from humanitarian organisations;,Yes,Yes,"The number of basic health units, i.e. all public and private health facilities, defined as a static facility (a designated building) or mobile clinics in which general health services are offered, in a defined administrative or health area, at a given point in time",,Sphere: Health systems standards,,Depending on services and country; Follow-up of trends,"Baseline, Output",,
Health,H-A.9a,H1 General clinical services & essential trauma care,Number and Percentage of non functional health facilities,,Facility,Number of health facilities in the same administrative or health area at the same point in time,"administrative area; health area; type of health facilities, i.e. basic health units, health centres, rural/district hospitals",Yes,Yes,Number of non-functional health facilities in a defined administrative or health area at a given point in time,,,,Follow-up of trends,"Baseline, Output",,
Health,H-A.9b,H1 General clinical services & essential trauma care,Number and Percentage of health facilities supported by humanitarian organisations,,Facility,Number of health facilities supported by stakeholders other than MoH in a defined administrative or health area at a given point in time,"administrative area; health area; type of health facilities, i.e. basic health units, health centres, rural/district hospitals",Yes,Yes,Number of health facilities in the same administrative or health area at a given point in time,,,,Follow-up of trends,"Baseline, Output",,
Health,H-C.1,H1 General clinical services & essential trauma care,Number of outpatient consultations per person per year (attendance rate or consultation rate),,Individual,The total population for the same administrative or health area,Administrative area; health area; age; sex; support/no support from humanitarian organisations;,Yes,Yes,"The number of visits to health facilities, i.e. all public and private health facilities and mobile clinics, for ambulant care in a defined administrative or health area during a year",,"Sphere: Health Action chapter, Appendix 3: Formula for calculating Health Facility Utilisation Rate, Sphere: Health systems standard 1: Health service delivery (Key indicator 2)",,> = 1 new visit/person per year Follow-up of trends,"Baseline, Output",,
Health,H-C.2,H1 General clinical services & essential trauma care,Number of consultations per clinician per day,,Individual,Number of full-time equivalent clinicians in the outpatient departement in the same health facility x number of working days in the same health facility in period of analysis,,Yes,Yes,Number of outpatient consultations in a given health facility during a given period of time,,"Sphere: Health Action chapter, Appendix 3: Formula for calculating the Number of Consultatinos per Clinician per Day, Sphere: Health systems standard 2: Human resources (Key indicator 3)",,< 50 consultations per clinician per day Follow-up of trends,"Baseline, Output",,
Health,H-C.3,"H5 Non communicable diseases and mental health, H6 Environmental Health",Coverage of measles vaccination (%),,Individual,Estimated total number of children in the target age group in the same administrative or health area in the same period of time,Administrative area; health area; sex,Yes,Yes,Number of children in the target age group who received measles vaccination in a defined administrative or health area in a given period of time,,Sphere: Essential health services – child health standard 1: Prevention of vaccine-preventable diseases (Sphere: 95% irrespective of location),,> 95% in camps or urban areas; > 90% in rural areas Follow-up of trends,"Baseline, Output",,
Health,H-C.4,H2 Child health,coverage of DTP3 in < 1 year old (%),,Individual,Estimated number of infants (under 12 months of age) in the same year,Administrative area; health area; sex,Yes,Yes,Number of infants (under 12 months of age) who received DTP3 in a given year,,Sphere: Essential health services – child health standard 1: Prevention of vaccine-preventable diseases (Key indicator 2) Sphere: 90%,,>95% Follow-up of trends,"Baseline, Output",,
Health,H-C.5,H4.2 Maternal and newborn care,Percentage of births assisted by a skilled attendant,,Individual,Estimated total number of births in the same administrative or health area in the same period of time,Administrative area; health area,Yes,Yes,Number of births in a defined administrative or health area in a given period of time,,,,>90% Follow-up of trends,"Baseline, Output",,
Health,H-C.6,H4.2 Maternal and newborn care,Percentage of deliveries by caesarean section,,Individual,Estimated total number of births in the same administrative or health area in the same period of time,Administrative area; health area;,Yes,Yes,Number of births by Caesarean section in a defined administrative or health area in a given period of time,,Sphere: Essential health services – sexual and reproductive health standard 1: Reproductive health (Key indicator 5),,>=5% and,"Baseline, Output",,
Health,H-R.1,"H3 Communicable diseases, H5 Non communicable diseases and mental health",Incidence for selected diseases relevant to the local context,,Individual,Total population in the same administrative or health area and at the same time period,Administrative area; health area; age (usually < 5 years; >= 5 years),Yes,Yes,Number of cases of selected disease in a defined administrative or health area in a given period of time,,,,Thresholds for alert/outbreak depending on disease Follow-up of trends,Baseline,,
Health,H-R.3,"H3 Communicable diseases, H5 Non communicable diseases and mental health",Case Fatality Ratio (CFR) for most common diseases,,Individual,Total number of cases related to the disease in the same administrative or health area and the same time period,Administrative area; health area; sex,Yes,Yes,Total number of fatalities related to the disease in a defined administrative or health area in a given time period,,Sphere: Essential health services – control of communicable diseases standard 3: Outbreak detection and response (Key indicator 4),,"Cholera : 1 per cent or lower; Shigella dysentery : 1 per cent or lower; typhoid : 1 per cent or lower; meningococcal meningitis : varies, 5-15 per cent; malaria : varies, aim for",Baseline,,
Logistics,L-1,L2 Weight,Weight of cargo transported/stored,,Metric Tonnes (MT),n/a,Type of logistics service (Storage or Transport by Mode); Organisation who requested the service; Sector supported; Date(s) of service provision; Location(s),Yes,Yes,n/a,,,,n/a,Output,,
Logistics,L-2,L1 Volume,Volume of cargo transported/stored,,Cubic metres (m3),n/a,Type of logistics service (Storage or Transport by Mode); Organisation who requested the service; Sector supported; Date(s) of service provision; Location(s),Yes,Yes,n/a,,,,n/a,Output,,
Nutrition,N-001,N1 Prevention and Management of Acute Malnutrition,Global acute malnutrition  (GAM),,Individual,Total number of children aged  6-59 months surveyed,"Geographical area, age, sex",Yes,Yes,Number of children aged 6-59 months that meet the criteria for global acute malnutrition,,"Sphere: Appendix 4: Measuring acute malnutrition, SPHERE Food security and nutrition chapter",,"WHO TRS 854. Severity classification: 5,10, 15%","Baseline, Outcome",Percentage,
Nutrition,N-002,N1 Prevention and Management of Acute Malnutrition,Acute malnutrition in infants less than 6 months,,Individual,Total number of children  less than 6 months surveyed,"Geographical area, sex",Yes,Yes,Number of infants 0-5 months that meet the criteria for global acute malnutrition,,"Sphere: Food security and nutrition chapter, Appendix 4: Measuring acute malnutrition",,"WHO TRS 854. Severity classification: 5,10, 15%","Baseline, Outcome",Percentage,
Nutrition,N-003,N1 Prevention and Management of Acute Malnutrition,Severe acute malnutrition (SAM),,Individual,Total number of children aged  6-59 months surveyed,"Geographical area, age, sex",Yes,Yes,Number of children aged 6-59 months that meet the criteria for severe acute malnutrition,,"Sphere: Appendix 4: Measuring acute malnutrition, SPHERE Food security and nutrition chapter, Sphere: Management of acute malnutrition and micronutrient deficiencies standard 2: Severe acute malnutrition",,"No standard WHO thresholds; this indicator cut-off should be interpreted in consideration of other indicators including  morbidity, mortality and proportion of GAM; Reference: WHO child growth standards and the identification of severe acute malnutrition in infants and children. A Joint Statement by the World Health Organization and the United Nations Children's Fund, 2009.","Baseline, Outcome",Percentage,
Nutrition,N-004,N1 Prevention and Management of Acute Malnutrition,Severe acute malnutrition (SAM) in infants 0-5 months,,Individual,Total number of children  0-5 months surveyed,"Geographical area, sex",Yes,Yes,Number of infants 0-5 months that meet the criteria for severe acute malnutrition,,"Sphere: Appendix 4: Measuring acute malnutrition, SPHERE Food security and nutrition chapter",,"No standard WHO thresholds; this indicator cut-off should be interpreted in consideration of other indicators including  morbidity, mortality and proportion of GAM; Reference: WHO child growth standards and the identification of severe acute malnutrition in infants and children. A Joint Statement by the World Health Organization and the United Nations Children's Fund, 2009.","Baseline, Outcome",Percentage,
Nutrition,N-005,N1 Prevention and Management of Acute Malnutrition,Moderate acute malnutrition (MAM),,Individual,Total number of children aged  6-59 months surveyed,"Geographical area, age, sex",Yes,Yes,Number of children aged 6-59 months that meet the criteria for moderate acute malnutrition,,"Sphere: Appendix 4: Measuring acute malnutrition, SPHERE Food security and nutrition chapter, Sphere: Management of acute malnutrition and micro-nutrient deficiencies standard 1: Moderate acute malnutrition",,"No standard WHO thresholds; this indicator cut-off should be interpreted in consideration of other indicators including  morbidity, mortality and proportion of GAM","Baseline, Outcome",Percentage,
Nutrition,N-006,N1 Prevention and Management of Acute Malnutrition,Moderate acute malnutrition (MAM) in infants 0-5 months,,Individual,Total number of children  less than 6 months surveyed,"Geographical area, sex",Yes,Yes,Number of infants less than 6 months that meet the criteria for moderate acute malnutrition,,,,"No standard WHO thresholds; this indicator cut-off should be interpreted in consideration of other indicators including  morbidity, mortality and proportion of GAM","Baseline, Outcome",Percentage,
