id,cluster,activity_type,activity_desc,activity_detail,indicator
258,Nutrition,Nutrition Emergency,Micronutrients Received 6-59 Months,,
259,Nutrition,Nutrition Emergency,Vitamin A Supplementation 6-59 Months,,
260,Nutrition,Nutrition Programmes,BSFP Received 6-23 Months,,
261,Nutrition,Nutrition Programmes,BSFP Received PLW,,
262,Nutrition,Nutrition Training,Cluster Approach,,
263,Nutrition,Nutrition Training,Infant Young Children Feeding (IYCF) Counselling/Coaching,,
264,Nutrition,Nutrition Training,Nutrition and Health Education Session,,# of participants receiving nutrition and health education session
265,Protection,CPiE,Adolescents programming,Establish Adolescents Clubs (boys & girls clubs/Girls & boys separate club) in community for peer to peer support;,# of  adolescents gained life and new genreation skills through adolscents social Hubs and girls Friendly  facilities and clubs.
266,Protection,CPiE,Adolescents programming,Establish adolescent friendly centers (Adolescent Social Hubs & Girls Friendly facilities) to provide Life Skills & new generations skills,# of  adolescents gained life and new genreation skills through adolscents social Hubs and girls Friendly  facilities and clubs.
267,Protection,CPiE,Awareness raising and advocacy,Community-based awareness raising on child protection issues and wellbeing messaging and support community capacity building on these topics (parents/community members),# of people who have been reached by context specific child protection messages and negative coping mechanism
268,Protection,CPiE,Awareness raising and advocacy,"Community-based awareness raising on child protection issues and wellbeing messaging, negative coping mechanism, child labor, child marraige and support community capacity building on these topics (parents/community members)","# of people who have been reached by information on the danger and consequences of conflict, hazardous child labor, child marriage, trafficking, other harmful practices and negative coping mechanisms"
269,Protection,CPiE,Awareness raising and advocacy,"Provision of awareness and positive parenting sessions to parents and caregivers to support their children's psychosocial wellbeing",# of people who have been reached by context specific child protection messages and negative coping mechanism
270,Protection,CPiE,Awareness raising and advocacy,"Provision of awareness and positive parenting sessions to parents and caregivers to support their children's psychosocial wellbeing","# of people who have been reached by information on the danger and consequences of conflict, hazardous child labor, child marriage, trafficking, other harmful practices and negative coping mechanisms"
271,Protection,CPiE,Child protection supplies and emergency kits,Provision of hygiene supplies to vulnerable families,# of children and their caregivers received hygiene supplies
272,Protection,CPiE,Community Based Child Protection System,Strengthen community based system/structure to prevent grave child rights violations,"# of community members (incl: religious leaders, govt. authorities, elders, civil societies and volunteer's etc.) sensitized to prevent grave child rights violations"
273,Protection,CPiE,Community Based Child Protection System,Strengthen community based system/structure to prevent grave child rights violations,"# of community structures (religious leaders, community development committees, shuras etc) members who are sensitized to prevent child rights violations"
274,Protection,CPiE,Emergency Supplies Distribution,Provision of Hygiene Kits,# of children and their caregivers received emergency supplies including winterization clothes and hygiene kits
275,Protection,CPiE,Emergency Supplies Distribution,Provision of Winterization items to children and caregivers,# of children and their caregivers received emergency supplies including winterization clothes and hygiene kits
276,Protection,CPiE,Integrated case management services,"Identification, registration, referrals, facilitation of access to services, and  follow up of case management services in line with the Afghanistan SOP for Case Management","# of girls and boys at risk, including unaccompanied and separated children, and child survivors of different protection risks identified, documented, and received case management services."
277,Protection,CPiE,Integrated case management services,Providing UASC with interim family-based care or other suitable interim alternative care arrangements,"# of girls and boys at risk, including unaccompanied and separated children, and child survivors of different protection risks identified, documented, and received case management services."
278,Protection,CPiE,Integrated case management services,Provision of Family Tracing and Reunification (FRT) services to Unaccompanied and Separated Children (UASC),# of UASC children provided with Family Tracing and Reunification (FTR) services
279,Protection,CPiE,Integrated case management services,Provision of Family Tracing and Reunification (FTR) services to Unaccompanied and Separated Children (UASC),"# of girls and boys at risk, including unaccompanied and separated children, and child survivors of different protection risks identified, documented, and received case management services."
280,Protection,CPiE,Integrated case management services,"Provision of GBV response to child survivors and children in risk of gender based and sexual abuse, including child marriage","# of girls and boys at risk, including unaccompanied and separated children, and child survivors of different protection risks identified, documented, and received case management services."
281,Protection,CPiE,Integrated case management services,"Provision of case management and referrals to child survivors and children in risk of SGBV, including child marriage",# of women and children received Gender-Based Violence (GBV) response services
282,Protection,CPiE,Integrated case management services,Provision of cash as a component of the Case Management services,"# of girls and boys at risk, including unaccompanied and separated children, and child survivors of different protection risks identified, documented, and received case management services."
283,Protection,CPiE,Integrated case management services,"Registration, referrals, facilitation of access to services, and  follow up of case management services in line with the Afghanistan SOP for Case Management for children at risk","# of girls and boys at risk, including unaccompanied and separated children, and child survivors of SGBV identified, documented, and received case management services"
284,Protection,CPiE,"Provision of victims' assistance",Regular Activity,
285,Protection,CPiE,Psychosocial and mental health support,"Provision of PSS for girls and boys  and their caregivers with alternative modalities including home based and, outdoor smaller groups and community-based activities","# of children and their caregivers reached with center, mobile and home based activities to improve their mental health and psychosocial well-being following program completion"
286,Protection,CPiE,Psychosocial and mental health support,"Provision of PSS for girls and boys  with alternative modalities including home based and, outdoor smaller groups and community-based activities","# of children and their caregivers reached with center, mobile and home based activities to improve their mental health and psychosocial well-being and life skills activities following program completion"
287,Protection,CPiE,Psychosocial and mental health support,"Provision of focused and/or non-specialized MHPSS services to girls, boys and adults","# of children and their caregivers reached with center, mobile and home based activities to improve their mental health and psychosocial well-being following program completion"
288,Protection,CPiE,Psychosocial and mental health support,"Provision of psychosocial support in Child Friendly Spaces (CFSs) to girls, boys and adults","# of children and their caregivers reached with center, mobile and home based activities to improve their mental health and psychosocial well-being following program completion"
289,Protection,CPiE,Psychosocial and mental health support,"Provision of psychosocial support in mobile Child Friendly Spaces (CFSs) to girls, boys and adults","# of children and their caregivers reached with center, mobile and home based activities to improve their mental health and psychosocial well-being following program completion"
290,Protection,CPiE,Psychosocial and mental health support,Provision of structured PSS for girls and boys at Child Friendly Spaces (CFS),"# of children and their caregivers reached with center, mobile and home based activities to improve their mental health and psychosocial well-being and life skills activities following program completion"
291,Protection,CPiE,"Social, economic and education reintegration",CP-Provision of economic reintegration assistance to children and youth who have suffered from grave child rights violations (including former CAAC),"# of girls and boys who have suffered from grave child rights violations (including former CAAC & children in detention) receiving socio, education and economic reintegration and life skill assistance"
292,Protection,CPiE,"Social, economic and education reintegration",Provision of economic reintegration assistance to children and youth who have suffered from grave child rights violations (including former CAAFAG),# of girls and boys who have suffered from grave child rights violations (including former CAAC & children in detention) benefitteed from social and economic reintegration and life skill assistance
293,Protection,CPiE,"Social, economic and education reintegration",Provision of education reintegration assistance to children and youth who have suffered from grave child rights violations (including former CAAC),"# of girls and boys who have suffered from grave child rights violations (including former CAAC & children in detention) receiving socio, education and economic reintegration and life skill assistance"
294,Protection,CPiE,"Social, economic and education reintegration",Provision of social reintegration and life skills assistance to children and youth who have suffered from grave child rights violations (including former CAAC),"# of girls and boys who have suffered from grave child rights violations (including former CAAC & children in detention) receiving socio, education and economic reintegration and life skill assistance"
295,Protection,CPiE,Training/ Capacity building,"Capacity building and mentoring of child protection workers and staff from other sectors on the norms and standards of child protection and to adapt new tools and working modalities, including PSS, Caring for Child Survivors (CS) of GBV Case Management, PFA, and COVID-19 messages (social worker, case worker, teachers, health workers, authorities, staff members)",# of social worker and social work providers trained on the norms and standards of child protection and to adapt new tools and working modalities
296,Protection,CPiE,Training/ Capacity building,Training and mentoring of case workers on integrated case management services including Caring for Child Survivors (CS) of SGBV,# of case workers trained and mentored on integrated case management services including Caring for Child Survivors (CS) of SGBV
297,Protection,CPiE,Training/ Capacity building,Training of professionals to deliver landmines and other explosive weapons related risk education,# of professionals trained to deliver landmines and other explosive weapons related risk education
298,Protection,GBV,Awareness raising and advocacy,Community outreach and dialogues to enhance prevention and referrals to GBV services,# of community members reached with community  dialogues/outreach sessions
299,Protection,GBV,Awareness raising and advocacy,Increased community awareness of and capacity to respond to GBV,# of persons reached with awareness and mitigation activities
300,Protection,GBV,Awareness raising and advocacy,Individuals with specific needs or heightened vulnerability are reached with timely and safe protection oriented direct or referral assistance,# of people reached with life-saving information on health and other services
301,Protection,GBV,Awareness raising and advocacy,"Provision of IEC materials to women, men, girls and boy on GBV prevention and response.","# of women, men, girls and boys who reached with messaging on GBV prevention and response."
302,Protection,GBV,Capacity of frontline providers to respond to GBV is built,Capacity Building of humanitarians,"# of staff trained on GBV core concepts, referrals, case management"
303,Protection,GBV,Distribution of dignity kits to women and girls,"Distribution of dignity kits to at-risk IDP, returnee and non-displaced populations",# of dignity kits distributed
304,Protection,GBV,Distribution of dignity kits to women and girls,"Distribution of dignity kits to at-risk IDP, returnee and non-displaced popuulations",# of women and girls in need are reached with dignity kits
305,Protection,GBV,Establish / Strengthen GBV Referral for Access to Services,,
306,Protection,GBV,Health assistance,"Provision of integrated GBV Health services to at-risk IDP, returnee and non-displaced shock-affected GBV survivors","# of at-risk IDP, returnee and non-displaced conflict or naturaldisaster-affected  receiving integrated  GBV related health assistance"
307,Protection,GBV,Health assistance,Provision of integrated GBV Health services to at-risk vulnerable population,"# of at-risk vulnerable populations receiving multi-sectoral GBV services  (psycho-social, legal, safety, health & case management)"
308,Protection,GBV,Legal Support,Provision of  legal support to at-risk vulnerable population,"# of at-risk vulnerable populations receiving multi-sectoral GBV services  (psycho-social, legal, safety, health & case management)"
309,Protection,GBV,Psychosocial and mental health assistance,Provision of MHPSS services to at-risk vulnerable population,"# of at-risk vulnerable populations receiving multi-sectoral GBV services  (psycho-social, legal, safety, health & case management)"
310,Protection,GBV,Training/ Capacity building,Training and mentoring of case workers on how to prevent and respond to GBV,# of staff and case workers trained and mentored on on how to prevent and respond to GBV
311,Protection,GBV,Training/ Capacity building,"Training of GBV responders on GBV minimum standards , including on PSS",# of GBV responders trained
312,Protection,GP,"Capacity Building (training on protection mainstreaming, CBPM, IHL, DRR, advocacy etc..)",,# of people benefiting from Community-Based Protection initiatives
313,Protection,GP,Community-Based Protection,Awareness Raising on  COVID-19,# of people who received awareness raising on COVID -19
314,Protection,GP,Community-Based Protection,Community based protection activities ( protection committees),# of people  who participated in community-based activities
315,Protection,GP,Community-Based Protection,People who used and benefited the community centre,# people who participated and benefited from the community project
316,Protection,GP,Community-Based Protection,Protection training for community members,# of  people community members trained on protection approaches or issues (not including GBV or Child Protection)
317,Protection,GP,Community-Based Protection activities,"Community-based protection initiatives conducted with the affected or at risk communities to enhance community resilience, prevent and address protection concerns",# of community and or protection committees established or maintained
318,Protection,GP,Community-Based Protection activities,"Community-based protection initiatives conducted with the affected or at risk communities to enhance community resilience, prevent and address protection concerns",# of people who participated in and or benefited from community-based protection activities
319,Protection,GP,Community-Based Protection activities,"Community-based protection initiatives conducted with the affected or at risk communities to enhance community resilience, prevent and address protection concerns",# of people who received awareness raising on protection related issues
320,Protection,GP,"PSN Identification, assistance and Referrals",Individual Protection Assistance (cash),"# of people with specific needs who received IPA assistance to prevent, mitigate or respond to protection needs"
321,Protection,GP,"PSN Identification, assistance and Referrals",Legal counsellign and assistance,# of people who received legal counselling and assistance
322,Protection,GP,"PSN Identification, assistance and Referrals",People reached with PSS services- In person or remote modality/ individual or in group,# of people  who received individual or group-based psychosocial support
323,Protection,GP,"PSN Identification, assistance and Referrals",Referrals to other service providers,# of people with specific needs referred to specialized services and assistance
324,Protection,GP,"PSN Identification, assistance and Referrals",Vulnerable HH received one-off cash for protection,# of HH with  protection concerns receiving cash for protection (ONE line of assistance)
325,Protection,GP,Protection Monitoring,Communities reached through protection monitoring,# of communities reached through protection monitoring
326,Protection,GP,Protection Monitoring,Enhanced protection analysis of the environment,# of people reached through protection monitoring including border monitoring
327,Protection,GP,Protection Monitoring,People reached through protection monitoring,# of people reached through protection monitoring
328,Protection,GP,Provision of Cash for Protection ( aligned on MEB),Individuals with specific needs or heightened vulnerability are reached with protection oriented direct or referral assistance,# of people receive Cash for Protection
329,Protection,GP,Provision of Individual Protection Assistance (IPA): In-kind,Individuals with specific needs or heightened vulnerability are reached with protection oriented direct or referral assistance,# of people receive Individual Protection Assistance (IPA) in-kind or cash
330,Protection,GP,Provision of Individual Protection Assistance (IPA): emergency cash assistance,Individuals with specific needs or heightened vulnerability are reached with protection oriented direct or referral assistance,# of people receive Individual Protection Assistance (IPA) in-kind or cash
331,Protection,GP,Provision of Legal Counselling and Assistance (Identity and Civil documentation),Individuals with specific needs or heightened vulnerability are reached with protection oriented direct or referral assistance,"# of people who received legal info, counselling and/or assistance on access to Tazkira and civil documentation"
332,Protection,GP,Provision of Psycho-Social Support (PSS) Assistance,Individuals with specific needs or heightened vulnerability are reached with protection oriented direct or referral assistance,# of people receive PSS services
333,Protection,HLP,"Information, Counselling and Legal Assistance",Counselling on HLP and legal identity,# of individuals receiving counselling and/or legal assistance on HLP rights
334,Protection,HLP,"Information, Counselling and Legal Assistance",Information sharing on HLP rights and legal identity,# of individuals receiving information on HLP rights
335,Protection,HLP,"Information, Counselling and Legal Assistance",Legal Assistance on HLP and legal identity,# of individuals receiving counselling and/or legal assistance on HLP rights
336,Protection,HLP,"Information, Counselling and Legal Assistance","Provision of tailored legal counselling services and referrals (as needed), and legal representation in front of formal and informal justice mechanisms",# of individuals receiving counselling and/or legal assistance on HLP rights
337,Protection,HLP,Training/ Capacity building,"Capacity Building for duty bearers, humanitarian and other partners","# of duty bearers, humanitarian and other partners receiving training and/or technical support on HLP"
338,Protection,MA,Provision of Explosive Ordnance Risk Education (EORE),Provision of behavioural change-focused EORE programmes are provided to vulnerable people.,# of vulnerable people receiving EORE
339,Protection,MA,Provision of Explosive Ordnance Risk Education (EORE),"Provision of printed materials with mine/ERW risk education materials (posters, brochures, notebooks, pens, etc)",# of vulnerable people receiving EORE
340,Protection,MA,Victim Assistance,"Victim Assistance (Psychosocial support, livelihood support, physical rehabilitation and Referrals) of people injured by explosive ordnance",# of Persons with Disabilities (PwD) receiving victim assistance services
341,WASH,Accountability to Population,Community Participation,Community Involvement in Decision Making,
342,WASH,Accountability to Population,Two Way Communication Channels,Help Desk,
343,WASH,Cash Transfer Programming,Unconditional - Unrestricted,Delivery Through Agent,
344,WASH,Cash and/or Voucher Activities,Assistance through Cash distribution,COVID-19 Response (Life Saving Response),
345,WASH,Cash and/or Voucher Activities,Assistance through Cash distribution,COVID-19 Response (Resilience/ Sustainability Response),
346,WASH,Cash and/or Voucher Activities,Assistance through Cash distribution,Cholera Response (Life Saving Response),
347,WASH,Cash and/or Voucher Activities,Assistance through Cash distribution,Drought Response (Life Saving Response),
348,WASH,Cash and/or Voucher Activities,Assistance through Cash distribution,Regular Activity (Life Saving Response),
349,WASH,Cash and/or Voucher Activities,Assistance through Cash distribution,Regular Activity (Resilience/ Sustainability Response),
350,WASH,Cash and/or Voucher Activities,Assistance through Voucher distribution,Cholera Response (Resilience/ Sustainability Response),
351,WASH,Cash and/or Voucher Activities,Assistance through Voucher distribution,Regular Activity (Life Saving Response),
352,WASH,Hygiene,Disinfection of Common Places with Chlorine,Drought Response,
353,WASH,Hygiene,Family Hygiene Kits Distributed,,
354,WASH,Hygiene,Family Hygiene Kits Distributed,COVID-19 Response,
355,WASH,Hygiene,Family Hygiene Kits Distributed,Cholera Response,
356,WASH,Hygiene,Family Hygiene Kits Distributed,Drought Response,
357,WASH,Hygiene,Family Hygiene Kits Distributed,Regular Activity,
358,WASH,Hygiene,Hand Washing Facilities - NEW,COVID-19 Response (Resilience/ Sustainability Response),
359,WASH,Hygiene,Hand Washing Facilities - NEW,Drought Response (Life Saving Response),
360,WASH,Hygiene,Hand Washing Facilities - NEW,Drought Response (Resilience/ Sustainability Response),
361,WASH,Hygiene,Hand Washing Facilities - NEW,Regular Activity (Life Saving Response),
362,WASH,Hygiene,Hand Washing Facilities - REHAB,COVID-19 Response (Resilience/ Sustainability Response),
363,WASH,Hygiene,Hand Washing Facilities - REHAB,Regular Activity (Life Saving Response),
364,WASH,Hygiene,Hygiene Kit Distribution,COVID-19 Kit Distribution,
365,WASH,Hygiene,Hygiene Kit Distribution,Cholera Kit Distribution,
366,WASH,Hygiene,Hygiene Kit Distribution,Initial Hygiene Kit Distribution,
367,WASH,Hygiene,Hygiene Kit Distribution,Post Distribution Monitoring,
368,WASH,Hygiene,Hygiene Kit Distribution,Replenishment Hygiene Kit Distribution,
369,WASH,Hygiene,Hygiene Promotion,Focus Group Sessions,
370,WASH,Hygiene,Hygiene Promotion,House to House Visits,
371,WASH,Hygiene,Hygiene Promotion,Hygiene Promotion Monitoring Visits,
372,WASH,Hygiene,Hygiene Promotion,Hygiene Promotion Volunteers Recruitment and Training,
373,WASH,Hygiene,Hygiene Promotion,Leaflet / Flyer Distribution,
374,WASH,Hygiene,Hygiene Promotion,Mass Campaigns (Radio / TV),
375,WASH,Hygiene,Hygiene Promotion,Other Campaigns,
376,WASH,Hygiene,Hygiene Promotion,Speaker Campaigns,
377,WASH,Hygiene,Hygiene Promotion - Health Facilities,COVID-19 Response (Resilience/ Sustainability Response),
378,WASH,Hygiene,Hygiene Promotion - Health Facilities,Drought Response (Resilience/ Sustainability Response),
379,WASH,Hygiene,Hygiene Promotion - Health Facilities,Regular Activity (Life Saving Response),
380,WASH,Hygiene,Hygiene Promotion - Health Facilities,Regular Activity (Resilience/ Sustainability Response),
381,WASH,Hygiene,Hygiene Promotion - Household / Community,,
382,WASH,Hygiene,Hygiene Promotion - Household / Community,COVID-19 Response,
383,WASH,Hygiene,Hygiene Promotion - Household / Community,COVID-19 Response (Life Saving Response),
384,WASH,Hygiene,Hygiene Promotion - Household / Community,COVID-19 Response (Resilience/ Sustainability Response),
385,WASH,Hygiene,Hygiene Promotion - Household / Community,Cholera Response,
386,WASH,Hygiene,Hygiene Promotion - Household / Community,Cholera Response (Life Saving Response),
387,WASH,Hygiene,Hygiene Promotion - Household / Community,Drought Response,
388,WASH,Hygiene,Hygiene Promotion - Household / Community,Drought Response (Life Saving Response),
389,WASH,Hygiene,Hygiene Promotion - Household / Community,Drought Response (Resilience/ Sustainability Response),
390,WASH,Hygiene,Hygiene Promotion - Household / Community,Regular Activity,
391,WASH,Hygiene,Hygiene Promotion - Household / Community,Regular Activity (Life Saving Response),
392,WASH,Hygiene,Hygiene Promotion - Household / Community,Regular Activity (Resilience/ Sustainability Response),
393,WASH,Hygiene,Hygiene Promotion - School,COVID-19 Response,
394,WASH,Hygiene,Hygiene Promotion - School,Cholera Response,
395,WASH,Hygiene,Hygiene Promotion - School,Regular Activity (Life Saving Response),
396,WASH,Hygiene,Hygiene Promotion - School,Regular Activity (Resilience/ Sustainability Response),
397,WASH,Hygiene,MHM Hygiene Promotion,MHM Hygiene Promotion,
398,WASH,Hygiene,MHM Kit Distribution,MHM Kit Distribution,
399,WASH,Sanitation,Bathing / Washing Facilities - NEW,Drought Response (Life Saving Response),
400,WASH,Sanitation,Bathing / Washing Facilities - NEW,Regular Activity (Life Saving Response),
401,WASH,Sanitation,Latrine Cleaning Kit,,
402,WASH,Sanitation,Latrine Cleaning Kit,Cholera Response (Resilience/ Sustainability Response),
403,WASH,Sanitation,Latrine Stalls - Communal - NEW,Drought Response (Life Saving Response),
404,WASH,Sanitation,Latrine Stalls - Communal - NEW,Regular Activity (Life Saving Response),
405,WASH,Sanitation,Latrine Stalls - Communal NEW / REHAB,,
406,WASH,Sanitation,Latrine Stalls - Health Facility - NEW,Drought Response (Resilience/ Sustainability Response),
407,WASH,Sanitation,Latrine Stalls - Health Facility - NEW,Regular Activity (Resilience/ Sustainability Response),
408,WASH,Sanitation,Latrine Stalls - Health Facility - REHAB,Drought Response (Resilience/ Sustainability Response),
409,WASH,Sanitation,Latrine Stalls - Health Facility - REHAB,Regular Activity (Resilience/ Sustainability Response),
410,WASH,Sanitation,Latrine Stalls - Health Facility NEW / REHAB,Regular Activity,
411,WASH,Sanitation,Latrine Stalls - Household - NEW,Drought Response (Resilience/ Sustainability Response),
412,WASH,Sanitation,Latrine Stalls - Household - NEW,Regular Activity (Resilience/ Sustainability Response),
413,WASH,Sanitation,Latrine Stalls - Household - REHAB,Drought Response (Life Saving Response),
414,WASH,Sanitation,Latrine Stalls - Household - REHAB,Regular Activity (Life Saving Response),
415,WASH,Sanitation,Latrine Stalls - Household NEW / REHAB,Regular Activity,
416,WASH,Sanitation,Latrine Stalls - School - NEW,Regular Activity (Life Saving Response),
417,WASH,Sanitation,Latrine Stalls - School - NEW,Regular Activity (Resilience/ Sustainability Response),
418,WASH,Sanitation,Latrine Stalls - School - REHAB,Cholera Response (Life Saving Response),
419,WASH,Sanitation,Latrine Stalls - School - REHAB,Regular Activity (Life Saving Response),
420,WASH,Sanitation,Latrine Stalls - School NEW / REHAB,Drought Response,
421,WASH,Sanitation,Latrine Stalls - School NEW / REHAB,Regular Activity,
422,WASH,Sanitation,Latrines,Hand Washing Stations (Installation),
423,WASH,Sanitation,Latrines,Latrine Cleaning and Disinfection (Emergency),
424,WASH,Sanitation,Latrines,Latrine Cleaning and Disinfection (VIP),
425,WASH,Sanitation,Latrines,Latrine Construction (Emergency),
426,WASH,Sanitation,Latrines,Latrine Construction (HH),
427,WASH,Sanitation,Latrines,Latrine Construction (VIP),
428,WASH,Sanitation,Latrines,Latrine Desludging (Manual),
429,WASH,Sanitation,Latrines,Latrine Desludging (Mechanical),
430,WASH,Sanitation,Latrines,Latrine Lock Installation (Emergency),
431,WASH,Sanitation,Latrines,Latrine Monitoring,
432,WASH,Sanitation,Latrines,Latrine Rehabilitation (Emergency),
433,WASH,Sanitation,Latrines,Latrine Rehabilitation (HH),
434,WASH,Sanitation,Latrines,Latrine Rehabilitation (VIP),
435,WASH,Sanitation,Latrines,Latrine Sludge Dumping Site,
436,WASH,Sanitation,Sanitation Committee,Establishment and Training of Rotational Sanitation Committee,
437,WASH,Sanitation,Sanitation Committee,Sanitation Committee Kits Distribution,
438,WASH,Sanitation,Septic Tank - NEW,Regular Activity (Resilience/ Sustainability Response),
439,WASH,Sanitation,Septic Tank - REHAB,Drought Response (Life Saving Response),
440,WASH,Sanitation,Sewer Line - NEW / REHAB,Regular Activity,
441,WASH,Sanitation,Sewer Line - REHAB,COVID-19 Response (Resilience/ Sustainability Response),
442,WASH,Sanitation,Showers,Shower Cleaning and Disinfection (Emergency),
443,WASH,Sanitation,Showers,Shower Construction (Emergency),
444,WASH,Sanitation,Showers,Shower Construction (Mid-Term),
445,WASH,Sanitation,Showers,Shower Gender Marking (Emergency),
446,WASH,Sanitation,Showers,Shower Rehabilitation (Emergency),
447,WASH,Sanitation,Showers,Shower Rehabilitation (Mid-Term),
448,WASH,Sanitation,Solid Waste Management,Regular Activity (Resilience/ Sustainability Response),
449,WASH,Sanitation,Vector Control Awareness Campaign,Drought Response (Life Saving Response),
450,WASH,Sanitation,Waste Management,Cleaning Campaigns,
451,WASH,Sanitation,Waste Management,Communal Refuse Pit Excavation for Incineration / Burial,
452,WASH,Sanitation,Waste Management,Establishment and Training of Rotational Waste Management Committee,
453,WASH,Sanitation,Waste Management,Solid Waste Management Committee Kits Distribution,
454,WASH,WASH Assessment,WASH Assessment in Community,COVID-19 Response (Life Saving Response),
455,WASH,WASH Assessment,WASH Assessment in Community,Drought Response (Life Saving Response),
456,WASH,WASH Assessment,WASH Assessment in Community,Regular Activity (Life Saving Response),
457,WASH,WASH Assessment,WASH Assessment in Health Facility,Cholera Response (Life Saving Response),
458,WASH,WASH Evaluation,CSI Survey,COVID-19 Response (Resilience/ Sustainability Response),
459,WASH,WASH Evaluation,CSI Survey,Cholera Response (Resilience/ Sustainability Response),
460,WASH,WASH Evaluation,CSI Survey,Drought Response (Resilience/ Sustainability Response),
461,WASH,WASH Supplies,# SAM/MAM children received WASH package/kit at household level,COVID-19 Response (Life Saving Response),
462,WASH,WASH Supplies,# SAM/MAM children received WASH package/kit at household level,Drought Response (Resilience/ Sustainability Response),
463,WASH,WASH Supplies,# SAM/MAM children received WASH package/kit at household level,Regular Activity (Life Saving Response),
464,WASH,WASH Supplies,Family Hygiene Kits Distributed,COVID-19 Response (Life Saving Response),
465,WASH,WASH Supplies,Family Hygiene Kits Distributed,COVID-19 Response (Resilience/ Sustainability Response),
466,WASH,WASH Supplies,Family Hygiene Kits Distributed,Cholera Response (Life Saving Response),
467,WASH,WASH Supplies,Family Hygiene Kits Distributed,Drought Response (Life Saving Response),
468,WASH,WASH Supplies,Family Hygiene Kits Distributed,Drought Response (Resilience/ Sustainability Response),
469,WASH,WASH Supplies,Family Hygiene Kits Distributed,Regular Activity (Life Saving Response),
470,WASH,WASH Supplies,Family Hygiene Kits Distributed,Regular Activity (Resilience/ Sustainability Response),
471,WASH,WASH for GBV Mitigation,GBV risk discussion with Female (Before Assistance),COVID-19 Response (Life Saving Response),
472,WASH,WASH for GBV Mitigation,GBV risk discussion with Female (Before Assistance),Drought Response (Life Saving Response),
473,WASH,WASH for GBV Mitigation,GBV risk discussion with Female (Before Assistance),Drought Response (Resilience/ Sustainability Response),
474,WASH,WASH for GBV Mitigation,Using the WASH GBV Checklist,COVID-19 Response (Life Saving Response),
475,WASH,Water,Borehole with Hand Pump - NEW,Drought Response (Life Saving Response),
476,WASH,Water,Borehole with Hand Pump - NEW,Drought Response (Resilience/ Sustainability Response),
477,WASH,Water,Borehole with Hand Pump - NEW,Regular Activity (Life Saving Response),
478,WASH,Water,Borehole with Hand Pump - NEW,Regular Activity (Resilience/ Sustainability Response),
479,WASH,Water,Borehole with Hand Pump - NEW / REHAB,Drought Response,
480,WASH,Water,Borehole with Hand Pump - NEW / REHAB,Regular Activity,
481,WASH,Water,Borehole with Hand Pump - REHAB,COVID-19 Response (Resilience/ Sustainability Response),
482,WASH,Water,Borehole with Hand Pump - REHAB,Drought Response (Life Saving Response),
483,WASH,Water,Borehole with Hand Pump - REHAB,Drought Response (Resilience/ Sustainability Response),
484,WASH,Water,Borehole with Hand Pump - REHAB,Regular Activity (Life Saving Response),
485,WASH,Water,Construction of Water Facilities,Borehole Construction,
486,WASH,Water,Construction of Water Facilities,Borehole Upgrade,
487,WASH,Water,Construction of Water Facilities,Reticulation Construction,
488,WASH,Water,Extension from Existing Piped System,,
489,WASH,Water,Extension from Existing Piped System,Drought Response (Life Saving Response),
490,WASH,Water,Extension from Existing Piped System,Regular Activity (Resilience/ Sustainability Response),
491,WASH,Water,Gravity-Fed Water System - NEW,Drought Response (Life Saving Response),
492,WASH,Water,Gravity-Fed Water System - NEW,Regular Activity (Life Saving Response),
493,WASH,Water,Gravity-Fed Water System - REHAB,Drought Response (Resilience/ Sustainability Response),
494,WASH,Water,Gravity-Fed Water System - REHAB,Regular Activity (Resilience/ Sustainability Response),
495,WASH,Water,Hand Dug Well - NEW / REHAB,Regular Activity,
496,WASH,Water,Operations and Maintenance,Fuel Provision for Water,
497,WASH,Water,Operations and Maintenance,Maintenance / Repair Kits Provision to WASHComs,
498,WASH,Water,Operations and Maintenance,Maintenance / Repair and Replacement of Water Systems,
499,WASH,Water,Operations and Maintenance,Operation and Maintenance Monitoring,
500,WASH,Water,Operations and Maintenance,WASHComs Establishment and Training,
501,WASH,Water,Operations and Maintenance,Water Chlorination,
502,WASH,Water,Piped Water Network - NEW,Drought Response (Life Saving Response),
503,WASH,Water,Piped Water Network - NEW,Regular Activity (Life Saving Response),
504,WASH,Water,Piped Water Network - NEW,Regular Activity (Resilience/ Sustainability Response),
505,WASH,Water,Piped Water Network - New / REHAB,Regular Activity,
506,WASH,Water,Piped Water Network - REHAB,Drought Response (Life Saving Response),
507,WASH,Water,Piped Water Network - REHAB,Regular Activity (Resilience/ Sustainability Response),
508,WASH,Water,Rainwater Harvesting System - NEW,Drought Response (Life Saving Response),
509,WASH,Water,Rehabilitation of Water Facilities,Borehole Rehabilitation,
510,WASH,Water,Shallow Well with Hand Pump - NEW / REHAB,Regular Activity,
511,WASH,Water,Solar Pumping System,Drought Response,
512,WASH,Water,Solar Pumping System,Regular Activity,
513,WASH,Water,Solar Pumping System - NEW,COVID-19 Response (Resilience/ Sustainability Response),
514,WASH,Water,Solar Pumping System - NEW,Cholera Response (Life Saving Response),
515,WASH,Water,Solar Pumping System - NEW,Drought Response (Life Saving Response),
516,WASH,Water,Solar Pumping System - NEW,Drought Response (Resilience/ Sustainability Response),
