activity_description_id,activity_detail_id,activity_detail_name,activity_type_id,cluster_id
referrals_for_other_gbv_services,cash_vouchers,Cash / Vouchers,gbv,protection
case_management_by_case_management_committees,cash_vouchers,Cash / Vouchers,gbv,protection
pss_services_by_counselors_in_health_facilities,cash_vouchers,Cash / Vouchers,gbv,protection
gbv_services_to_gbv_survivors,legal_services_to_gbv_survivors,Legal services to GBV survivors,gbv,protection
gbv_services_to_gbv_survivors,health_services_to_gbv_survivors,Health services to GBV survivors,gbv,protection
gbv_services_to_gbv_survivors,psychosocial_support_to_gbv_survivors,Psychosocial support to GBV survivors,gbv,protection
protection_monitoring,people_reached_through_protection_monitoring,People reached through protection monitoring,gp,protection
protection_monitoring,communities_reached_through_protection_monitoring,Communities reached through protection monitoring,gp,protection
psn_identification_assistance_and_referrals,referrals_to_other_service_providers,Referrals to other service providers,gp,protection
psn_identification_assistance_and_referrals,individual_protection_assistance_cash_or_in_kind,Individual Protection Assistance cash or in-kind,gp,protection
psn_identification_assistance_and_referrals,individual_protection_assistance_cash,Individual Protection Assistance (cash),gp,protection
psn_identification_assistance_and_referrals,individual_protection_assistance_in_kind,Individual Protection Assistance (in-kind),gp,protection
psn_identification_assistance_and_referrals,legal_counsellign_and_assistance,Legal counsellign and assistance,gp,protection
psn_identification_assistance_and_referrals,people_reached_with_pss_services_in_person_or_remote_modality_individual_or_in_group,People reached with PSS services- In person or remote modality/ individual or in group,gp,protection
psn_identification_assistance_and_referrals,community_centered_established,Community Centered established,gp,protection
community_based_protection,awareness_raising_on_covid_19,Awareness Raising on  COVID-19,gp,protection
community_based_protection,awareness_raising_on_trafficking_in_person,Awareness Raising on trafficking in person,gp,protection
psn_identification_assistance_and_referrals,vulnerable_hh_received_one_off_cash_for_protection,Vulnerable HH received one-off cash for protection,gp,protection
community_based_protection,awareness_raising_on_access_to_identity_and_civil_documentation,Awareness Raising on  access to identity and civil documentation,gp,protection
community_based_protection,community_based_protection_activities_protection_committees,Community based protection activities ( protection committees),gp,protection
community_based_protection,community_project_established_community_centers,Community project established  (community centers),gp,protection
community_based_protection,people_who_used_and_benefited_the_community_centre,People who used and benefited the community centre,gp,protection
community_based_protection,protection_training_for_community_members,Protection training for community members,gp,protection
cash_for_protection_outcomes_unrestricted,cash_vouchers,Cash / Vouchers,gp,protection
"individual_protection_assistance_ipa,_in-kind_or_cash_restricted",cash_vouchers,Cash / Vouchers,gp,protection
"individual_protection_assistance_ipa,_in-kind_or_cash_restricted",non_cash,Non Cash,gp,protection
direct_or_referral_protection_assistance_for_people_with_specific_needs_or_heightened_vulnerability,unconditional_cash_direct_referral,Unconditional cash,gp,protection
direct_or_referral_protection_assistance_for_people_with_specific_needs_or_heightened_vulnerability,other_non_cash_direct_refferal,Other (non-cash),gp,protection
community-based_protection-related_activities,other_non_cash,Other (non-cash),gp,protection
post-arrival_assistance_to_returnees,unconditional_cash_post_arrival,Unconditional cash,gp,protection
community-based_protection-related_activities,unconditional_cash,Unconditional cash,gp,protection
post-arrival_assistance_to_returnees,other_non_cash_post_arrival,Other (non-cash),gp,protection
information_counselling_and_legal_assistance,provision_of_legal_support_and_representation_in_front_of_formal_and_informal_justice_mechanisms_so_that_individuals_can_access_hlp_rights,Provision of legal support and representation in front of formal and informal justice mechanisms so that individuals can access HLP rights,hlp,protection
information_counselling_and_legal_assistance,provision_of_awareness_raising_advocacy_and_legal_counselling_so_that_individuals_can_access_hlp_rights,"Provision of awareness raising, advocacy and legal counselling so that individuals can access HLP rights",hlp,protection
information_counselling_and_legal_assistance,provision_of_tailored_legal_counselling_services_and_referrals_as_needed_and_legal_representation_in_front_of_formal_and_informal_justice_mechanisms,"Provision of tailored legal counselling services and referrals (as needed), and legal representation in front of formal and informal justice mechanisms",hlp,protection
training_capacity_building,provision_of_capacity_building_to_justice_actors_government_stakeholders_and_humanitarian_actors_on_hlp_rights_including_the_land_allocation_mechanism,"Provision of capacity building to justice actors, government stakeholders and humanitarian actors on HLP rights, including the land allocation mechanism",hlp,protection
information_counselling_and_legal_assistance,provision_of_awareness_on_hlp_rights_such_as_security_of_tenure_land_allocation_schemes_hlp_documentation_women's_hlp_rights_inheritance_rights_etc.,"Provision of awareness on HLP rights such as security of tenure, land allocation schemes, HLP documentation, women's HLP rights, inheritance rights, etc.",hlp,protection
provision_of_land_clearance,conducting_non_technical_survey,Conducting non-technical survey,ma,protection
provision_of_land_clearance,conducting_technical_survey,Conducting technical survey,ma,protection
provision_of_explosive_ordnance_risk_education_eore,provision_of_behavioural_change_focused_eore_programmes_are_provided_to_vulnerable_people.,Provision of behavioural change-focused EORE programmes are provided to vulnerable people.,ma,protection
provision_of_explosive_ordnance_risk_education_eore,provision_of_printed_materials_with_mine_erw_risk_education_materials_posters_brochures_notebooks_pens_etc,"Provision of printed materials with mine/ERW risk education materials (posters, brochures, notebooks, pens, etc)",ma,protection
provision_of_explosive_ordnance_disposal_eod,identification_and_marking_of_explosive_remnants_of_war_erw,Identification and marking of Explosive Remnants of War (ERW),ma,protection
provision_of_land_clearance,conducting_clearance,Conducting clearance,ma,protection
provision_of_explosive_ordnance_disposal_eod,removal_disposal_of_erw,Removal/disposal of ERW,ma,protection
awareness_raising,Training for community protection actors and groups on GBV response & protocols,Training for community protection actors and groups on GBV response & protocols,gbv,protection
awareness_raising,Empowerment programmes/trainings / workshops/meetings,Empowerment programmes/trainings / workshops/meetings,gbv,protection
awareness_raising,IEC development and dissemination,IEC development and dissemination,gbv,protection
awareness_raising,"Mass campaign activity (Radio, TV, Billboards, e.t.c..)","Mass campaign activity (Radio, TV, Billboards, e.t.c..)",gbv,protection
capacity_building,GBV Mainstreaming/Women empowerment & gender equality training,GBV Mainstreaming/Women empowerment & gender equality training,gbv,protection
awareness_raising,"Community outreach, dialogues and sensitisation sessions","Community outreach, dialogues and sensitisation sessions",gbv,protection
capacity_building,GBV/PSEA training for key actors,GBV/PSEA training for key actors,gbv,protection
capacity_building,Medical peronnel training on health response and CMR,Medical peronnel training on health response and CMR,gbv,protection
capacity_building,Training on GBV PSS and case management,Training on GBV PSS and case management,gbv,protection
capacity_building,Training on safe and Ethical GBV data management including GBVIMS,Training on safe and Ethical GBV data management including GBVIMS,gbv,protection
community_gbv_protection_mechanisms,Engagement with exiting local strutures (e.g child protection committees) to facilitate GBV protection initiatives,Engagement with exiting local strutures (e.g child protection committees) to facilitate GBV protection initiatives,gbv,protection
community_gbv_protection_mechanisms,Facilities and institutions that communicate GBV messages in a safe and culturally-appropriate way,Facilities and institutions that communicate GBV messages in a safe and culturally-appropriate way,gbv,protection
data_information_management,"GBV assessments (Safety audits, observational analysis, service mapping, risk analysis, impact assessment, needs assessment )","GBV assessments (Safety audits, observational analysis, service mapping, risk analysis, impact assessment, needs assessment )",gbv,protection
livelihood_empowerment,Cash Assistance,Cash Assistance,gbv,protection
livelihood_empowerment,Start up grants/kits,Start up grants/kits,gbv,protection
livelihood_empowerment,"Agriculture - protection grants / livestock, agriculture e.t.c","Agriculture - protection grants / livestock, agriculture e.t.c",gbv,protection
livelihood_empowerment,Village Saving and Loan Associations (VSLA),Village Saving and Loan Associations (VSLA),gbv,protection
livelihood_empowerment,Vocational & skills building,Vocational & skills building,gbv,protection
material_support,Dignity kits distribution,Dignity kits distribution,gbv,protection
community_gbv_protection_mechanisms,Recreational activities,Recreational activities,gbv,protection
material_support,Emergency material support (women and girls),Emergency material support (women and girls),gbv,protection
material_support,GBV Prevention/risk reduction items,GBV Prevention/risk reduction items,gbv,protection
material_support,Re-intergration/Re-insertion package,Re-intergration/Re-insertion package,gbv,protection
safety_security,"Establishment of Women, girl and Youth Friendly Space","Establishment of Women, girl and Youth Friendly Space",gbv,protection
specialized_gbv_services,Ambulance services,Ambulance services,gbv,protection
specialized_gbv_services,"Follow up, psychosial support and wellbeing","Follow up, psychosial support and wellbeing",gbv,protection
specialized_gbv_services,GBV Case management,GBV Case management,gbv,protection
specialized_gbv_services,GBV referral services,GBV referral services,gbv,protection
safety_security,"Community solutions (i.e., a safe house, foster care within the community)","Community solutions (i.e., a safe house, foster care within the community)",gbv,protection
specialized_gbv_services,Individial counseling,Individial counseling,gbv,protection
specialized_gbv_services,Legal Advice,Legal Advice,gbv,protection
specialized_gbv_services,"Legal Aid (including legal fees, transport and any support to facilitate access to justice for GBV survivors and vulnerable women and girls","Legal Aid (including legal fees, transport and any support to facilitate access to justice for GBV survivors and vulnerable women and girls",gbv,protection
specialized_gbv_services,Group therapy/counseling,Group therapy/counseling,gbv,protection
specialized_gbv_services,Medical mobile outreach services,Medical mobile outreach services,gbv,protection
specialized_gbv_services,Medical refferals and rehablitation including fistula repairs,Medical refferals and rehablitation including fistula repairs,gbv,protection
specialized_gbv_services,Post treatment care and support,Post treatment care and support,gbv,protection
specialized_gbv_services,Prevention of Mother to Child Transmision (PMCT),Prevention of Mother to Child Transmision (PMCT),gbv,protection
specialized_gbv_services,Primary health care (both in and out patient),Primary health care (both in and out patient),gbv,protection
specialized_gbv_services,Legal Representation (Pro-bono?),Legal Representation (Pro-bono?),gbv,protection
specialized_gbv_services,Provision of rape treatment/clinical management of rape/sexual assault,Provision of rape treatment/clinical management of rape/sexual assault,gbv,protection
specialized_gbv_services,Psychological first aid,Psychological first aid,gbv,protection
specialized_gbv_services,Reproductive and maternal health - Obstetrics and gyneacologicology,Reproductive and maternal health - Obstetrics and gyneacologicology,gbv,protection
specialized_gbv_services,"Specialised care for survivors: Psychological and Psychiatric evaluation, treatment and care","Specialised care for survivors: Psychological and Psychiatric evaluation, treatment and care",gbv,protection
specialized_gbv_services,Distribution of PEP kits,Distribution of PEP kits,gbv,protection
specialized_gbv_services,Multi-sectoral referral mechanisms established to safely and timely link GBV survivors to appropriate comprehensive services,Multi-sectoral referral mechanisms established to safely and timely link GBV survivors to appropriate comprehensive services,gbv,protection
specialized_gbv_services,"Psychosocial support for vulnerable women, girls and men","Psychosocial support for vulnerable women, girls and men",gbv,protection
fatp_stabilization_referrals_conflict,treatment_same_province_conflict,Treatment Same Province,trauma_care,health
fatp_stabilization_referrals_conflict,treatment_different_province_conflict,Treatment Different Province,trauma_care,health
fatp_stabilization_referrals_civilian,treatment_same_province_civilian,Treatment Same Province,trauma_care,health
fatp_stabilization_referrals_civilian,treatment_different_province_civilian,Treatment Different Province,trauma_care,health
general_food_distribution,household_1_3,HH Size 1 - 3,food_assistance,fss
general_food_distribution,household_4_7,HH Size 4 - 7,food_assistance,fss
general_food_distribution,household_8_10,HH Size 8 - 10,food_assistance,fss
general_food_distribution,household_11_plus,HH Size 11+,food_assistance,fss
local_materials_tarps_tools_package,regular,Regular Activity,emergency_shelter,esnfi
tent_distribution_2_tarps_package,regular,Regular Activity,standard_emergency_shelter_kit,esnfi
infrastructure_extension_settlement_space_covid_facilities,response_covid19,COVID-19 Response,emergency_shelter,esnfi
rental_support_6_month_package,regular,Regular Activity,rental_support,esnfi
rental_support_3_month_package,response_covid19,COVID-19 Response,rental_support,esnfi
rental_support_3_month_package,regular,Regular Activity,rental_support,esnfi
rental_support_6_month_package,response_covid19,COVID-19 Response,rental_support,esnfi
existing_shelter_upgrade_repair_package,regular,Regular Activity,shelter_repair_upgrade,esnfi
existing_shelter_upgrade_repair_package,response_covid19,COVID-19 Response,shelter_repair_upgrade,esnfi
emergency_shelter_self_construction_repair_toolkit_distribution,regular,Regular Activity,emergency_shelter_self_construction_repair_toolkit,esnfi
standard_nfi_kit_distribution,response_covid19,COVID-19 Response,standard_emergency_nfi_kit,esnfi
standard_nfi_kit_distribution,regular,Regular Activity,standard_emergency_nfi_kit,esnfi
transitional_shelter_construction_2_room,regular,Regular Activity,transitional_shelter,esnfi
shelter_extension_kits_overcrowding_reduction,response_covid19,COVID-19 Response,transitional_shelter,esnfi
transitional_shelter_construction_1_room,regular,Regular Activity,transitional_shelter,esnfi
permanent_shelter_construction_1_room,regular,Regular Activity,permanent_shelter,esnfi
permanent_shelter_construction_2_room,regular,Regular Activity,permanent_shelter,esnfi
winterization_package_heating_fuel,response_covid19,COVID-19 Response,standard_winterization_package,esnfi
winterization_package_heating_fuel,regular,Regular Activity,standard_winterization_package,esnfi
heating_supplies_school_support,response_covid19,COVID-19 Response,standard_winterization_package,esnfi
winterization_package_winter_clothing_kit,regular,Regular Activity,standard_winter_clothing_kit,esnfi
winterization_package_winter_clothing_kit,response_covid19,COVID-19 Response,standard_winter_clothing_kit,esnfi
school_aged_children_winter_clothing_kits,response_covid19,COVID-19 Response,standard_winterization_package,esnfi
training_awareness_drr,regular,Regular Activity,esnfi_education_training,esnfi
training_upgrading_repair_shelter,regular,Regular Activity,esnfi_education_training,esnfi
Risk communication and information campaigns on COVID-19,response_covid19,COVID-19 Response,risk_communication,esnfi
shelter_units_health_facilities,response_covid19,COVID-19 Response,shelter_support_health_facilities,esnfi
shelter_units_quarantine_facilities,response_covid19,COVID-19 Response,shelter_support_health_facilities,esnfi
shelter_units_home_isolation,response_covid19,COVID-19 Response,shelter_support_health_facilities,esnfi
gbv_response,psychosocial_support,Psychosocial support,gbv,protection
gbv_response,dignity_kits,Dignity Kits,gbv,protection
gbv_prevention,women’s_empowerment_program,Women’s Empowerment Program,gbv,protection
gbv_response,capacity_building_for_service_providers,Capacity Building for Service Providers,gbv,protection
gbv_prevention,engagement_of_men_and_boys,Engagement of Men and Boys,gbv,protection
gbv_prevention,capacity_building_for_community_members,Capacity building for community members,gbv,protection
gbv_prevention,youth_adolescent_targeted_program,Youth/Adolescent targeted Program,gbv,protection
gbv_prevention,risk_mitigation,Risk Mitigation,gbv,protection
gbv_prevention,gbv_awareness_raising,GBV Awareness Raising,gbv,protection
adolescents,support_adolescents_to_organize_peer_to_peer_support_activities,Support adolescents to organize peer to peer support activities,child_protection,protection
adolescents,life_skills_and_resilience_programming_including_adolescent_girls_and_boys,Life Skills and resilience programming (including adolescent girls and boys),child_protection,protection
alternative_care,identified_of_children_who_are_in_alternative_care,Identified of children who are in alternative care,child_protection,protection
case_management,support_children_at_risk_and_survivors_including_unaccompanied_and_separated_through_providing_case_management_services,Support children at risk and survivors including unaccompanied and separated through providing case management services,child_protection,protection
alternative_care,identification_of_children_in_alternative_care_who_are_receiving_regular_follow_services,Identification of children in alternative care who are receiving regular follow services,child_protection,protection
cp_capacity_building,training_of_child_protection_staff_enrolled_and_receiving_learning_and_development_support_on_specialized_services,Training of child protection staff enrolled and receiving learning and development support on specialized services,child_protection,protection
cp_capacity_building,training_of_child_protection_staff_trained_on_key_child_protection_approaches,Training of child protection staff trained on key child protection approaches,child_protection,protection
cp_capacity_building,"training_of_non-child_protection_staff_trained_on_child_protection_principles,_approaches,_child_safeguarding_psea","Training of non-child protection staff trained on child protection principles, approaches, child safeguarding PSEA",child_protection,protection
cp_community_engagement,community_based_child_protection_mechanisms_structures_strengthened,Community based child protection mechanisms/structures strengthened,child_protection,protection
cp_community_engagement,awareness_raising,Awareness raising,child_protection,protection
cp_community_engagement,capacity_building_of_members_of_community-based_child_protection_structures_on_cpie,Capacity building of members of community-based child protection structures on CPiE,child_protection,protection
cp_community_engagement,community_led_prevention_messaging_on_key_child_protection_risks_and_social_norms,Community led prevention messaging on key child protection risks and social norms,child_protection,protection
cp_community_engagement,provide_parenting_skills_session_to_caregivers_and_community_members_based_on_existing_tools,Provide parenting skills session to caregivers and community members based on existing tools,child_protection,protection
cp_system_strengthening,"setting_up_an_inter-agency_child_protection_situation_and_alert_system_for_child_rights_violations,_including_trafficking","Setting up an inter-agency child protection situation and alert system for child rights violations, including trafficking",child_protection,protection
specialized_services,provide_structured_psychosocial_support_activities_to_boys_and_girls,Provide structured psychosocial support activities to boys and girls,child_protection,protection
cp_system_strengthening,alignment_of_case_management_sops_for_national_government_and_humanitarian_actors,Alignment of case management SOPs for national government and humanitarian actors,child_protection,protection
uasc_and_children_at_risk,identification_of_separated_girls_and_boys_identified_and_documented,Identification of separated girls and boys identified and documented,child_protection,protection
specialized_services,establishment_of_child_friendly_spaces__mobile_intervention_to_provide_structured_psycho-social_assistance_to_girls_and_boys,Establishment of Child Friendly Spaces/ Mobile intervention to provide structured psycho-social assistance to girls and boys,child_protection,protection
uasc_and_children_at_risk,"identification_of_girls_and_boys_at_risk_of_violence,abuse_and_exploitation_identified_and_documented","Identification of girls and boys at risk of violence,abuse and exploitation identified and documented",child_protection,protection
uasc_and_children_at_risk,identification_of_unaccompanied_girls_and_boys_identified_and_documented,Identification of unaccompanied girls and boys identified and documented,child_protection,protection
uasc_and_children_at_risk,identification_of_temporary_lost_girls_and_boys,Identification of temporary lost girls and boys,child_protection,protection
uasc_and_children_at_risk,reunification_of_unaccompanied_and_separated_girls_and_boys_children_with_their_parents_or_caregivers,Reunification of unaccompanied and separated girls and boys children with their parents or caregivers,child_protection,protection
access_to_territory_and_legal_assistance,border_monitoring_visit,Border monitoring visit,general_protection,protection
uasc_and_children_at_risk,reunification_of_temporary_lost_girls_and_boys_with_their_parents_or_caregivers,Reunification of temporary lost girls and boys with their parents or caregivers,child_protection,protection
access_to_territory_and_legal_assistance,protection_monitoring_visit,Protection monitoring visit,general_protection,protection
access_to_territory_and_legal_assistance,"other_legal_assistance,_representation_and_counselling","Other legal assistance, representation and counselling",general_protection,protection
access_to_territory_and_legal_assistance,"intervention_to_prevent_or_end_detention_for_illegal_entry_or_illegal_stay,_incl._legal_assistance,_representation,_counselling","Intervention to prevent or end detention for illegal entry or illegal stay, incl. legal assistance, representation, counselling",general_protection,protection
capacity_building,capacity_building_activities_targeting_government_officials,Capacity building activities targeting government officials,general_protection,protection
access_to_territory_and_legal_assistance,"legal_assistance,_representation_and_counselling","Legal assistance, representation and counselling",general_protection,protection
capacity_building,protection_training_targeting_non-protection_staff_protection_mainstreaming,Protection training targeting non-protection staff (protection mainstreaming),general_protection,protection
capacity_building,technical_skills_trainings_targeting_protection_staff,Technical skills trainings targeting protection staff,general_protection,protection
community_based_protection,adolescent_and_youth_engagement,Adolescent and youth engagement,general_protection,protection
community_based_protection,awareness_raising,Awareness raising,general_protection,protection
community_based_protection,"refugees_participating_in_participatory_assessments,_community_self-management_activities,_focus_groups,_community_awareness_raising_activities","Refugees participating in participatory assessments, community self-management activities, focus groups, community awareness raising activities",general_protection,protection
persons_with_specific_needs,"assistance_to_persons_with_specific_needs_through_services_incl._case_management,_follow_up_not_if_possible_to_report_under_cp_or_gbv","Assistance to persons with specific needs through services incl. Case Management, follow up (not if possible to report under CP or GBV)",general_protection,protection
registration_documentation,"registration_of_persons_of_concern_disaggregated_by_sex,_age,_diversity_and_location_on_an_individual_basis","Registration of persons of concern disaggregated by sex, age, diversity and location on an individual basis",general_protection,protection
registration_documentation,"documentation_provided_to_persons_of_concern_disaggregated_by_sex,_age,_diversity_and_location_on_an_individual_basis","Documentation provided to persons of concern disaggregated by sex, age, diversity and location on an individual basis",general_protection,protection
social_cohesion_and_system_strengthening,social_cohesion,Social cohesion,general_protection,protection
construction_of_water_facilities,hand_pump,Hand Pump,water,wash
construction_of_water_facilities,open_well,Open Well,water,wash
construction_of_water_facilities,deep_well,Deep Well,water,wash
rehabilitation_of_water_facilities,hand_pump_improvement,Hand Pump Improvement,water,wash
rehabilitation_of_water_facilities,open_well_improvement,Open Well Improvement,water,wash
rehabilitation_of_water_facilities,deep_well_improvement,Deep Well Improvement,water,wash
temporary_facilities_services_and_distribution,water_distribution,Water Distribution,water,wash
temporary_facilities_services_and_distribution,nfi_distribution,NFI Distribution,water,wash
operations_and_maintenance,water_quality_monitoring,Water Quality Monitoring,water,wash
temporary_facilities_services_and_distribution,sanitation_technical_assessment,Sanitation Technical Assessment,sanitation,wash
construction_of_sanitation_facilities,showers,Showers,sanitation,wash
construction_of_sanitation_facilities,latrines,Latrines,sanitation,wash
rehabilitation_of_sanitation_facilities,showers,Showers,sanitation,wash
rehabilitation_of_sanitation_facilities,latrines,Latrines,sanitation,wash
temporary_facilities_services_and_distribution,nfi_distribution,NFI Distribution,sanitation,wash
operations_and_maintenance,monitoring_of_toilet_facilities,Monitoring of Toilet Facilities,sanitation,wash
temporary_facilities_services_and_distribution,portalets,Portalets,sanitation,wash
hygiene_promotion,leaflet_flyer,Leaflet/Flyer,hygiene,wash
hygiene_promotion,house_to_house_visits,House to House Visits,hygiene,wash
operations_and_maintenance,sanitation_technical_assessment,Sanitation Technical Assessment,sanitation,wash
hygiene_promotion,hygiene_promotion_volunteers_recruitment_and_training,Hygiene Promotion Volunteers Recruitment and Training,hygiene,wash
hygiene_promotion,hygiene_promotion_monitoring,Hygiene Promotion Monitoring,hygiene,wash
hydiene_kit_distribution,hygiene_kit_distribution,Hygiene Kit Distribution,hygiene,wash
hydiene_kit_distribution,replenishment_hygiene_kit_distribution,Replenishment Hygiene Kit Distribution,hygiene,wash
hydiene_kit_distribution,hygiene_promotion_volunteers_kit_distribution,Hygiene Promotion Volunteers Kit Distribution,hygiene,wash
hygiene_promotion,mass_campaigns_radio_tv,Mass Campaigns (Radio/TV),hygiene,wash
hydiene_kit_distribution,post_distribution_monitoring,Post Distribution Monitoring,hygiene,wash
hydiene_kit_distribution,cholera_kit_distribution,Cholera Kit Distribution,hygiene,wash
hand_dug_well,response_drought,Drought Response,water,wash
piped_water_network,response_drought,Drought Response,water,wash
rainwater_system,response_drought,Drought Response,water,wash
shallow_well,response_drought,Drought Response,water,wash
reverse_osmosis_system,response_drought,Drought Response,water,wash
gravity_fed_water_system,response_drought,Drought Response,water,wash
borehole,response_drought,Drought Response,water,wash
solar_pumping_system,response_drought,Drought Response,water,wash
water_kiosk,response_drought,Drought Response,water,wash
piped_extension,response_drought,Drought Response,water,wash
family_water_kit_distribution,response_drought,Drought Response,water,wash
water_quality_testing,response_drought,Drought Response,water,wash
water_supply_health_facility,response_drought,Drought Response,water,wash
water_supply_school,response_drought,Drought Response,water,wash
water_tank,response_drought,Drought Response,water,wash
water_tankering,response_drought,Drought Response,water,wash
education_water,response_drought,Drought Response,water,wash
water_treatment,response_drought,Drought Response,water,wash
water_filtration,response_drought,Drought Response,water,wash
latrine_stalls_communal,response_drought,Drought Response,sanitation,wash
water_supply_community,response_drought,Drought Response,water,wash
latrine_stalls_school,response_drought,Drought Response,sanitation,wash
latrine_stalls_household,response_drought,Drought Response,sanitation,wash
latrine_stalls_health_facility,response_drought,Drought Response,sanitation,wash
latrine_stalls_desludged,response_drought,Drought Response,sanitation,wash
latrine_stalls_decommissioned,response_drought,Drought Response,sanitation,wash
septic_tank,response_drought,Drought Response,sanitation,wash
sewer_line,response_drought,Drought Response,sanitation,wash
solid_waste_management,response_drought,Drought Response,sanitation,wash
latrine_cleaning_kit,response_drought,Drought Response,sanitation,wash
drainage_provision,response_drought,Drought Response,sanitation,wash
education_vector_control_awareness,response_drought,Drought Response,sanitation,wash
washing_facilities,response_drought,Drought Response,sanitation,wash
education_hygiene_promotion_household_community,response_drought,Drought Response,hygiene,wash
hygiene_promotion_health_facilities,response_drought,Drought Response,hygiene,wash
hand_washing_facilities,response_drought,Drought Response,hygiene,wash
family_hygiene_kits_distributed,response_drought,Drought Response,hygiene,wash
disinfection_common_places_chlorine,response_drought,Drought Response,hygiene,wash
assessment_wash_school,response_drought,Drought Response,assessment,wash
assessment_wash_health_facility,response_drought,Drought Response,assessment,wash
assessment_wash_community,response_drought,Drought Response,assessment,wash
evaluation_baseline,response_drought,Drought Response,evaluation,wash
evaluation_endline,response_drought,Drought Response,evaluation,wash
evaluation_pdm,response_drought,Drought Response,evaluation,wash
evaluation_crm,response_drought,Drought Response,evaluation,wash
evaluation_results_monitoring,response_drought,Drought Response,evaluation,wash
evaluation_fgd,response_drought,Drought Response,evaluation,wash
evaluation_kap,response_drought,Drought Response,evaluation,wash
evaluation_kii,response_drought,Drought Response,evaluation,wash
evaluation_csi,response_drought,Drought Response,evaluation,wash
education_hygiene_promotion_school,response_drought,Drought Response,hygiene,wash
assistance_through_cash_distribution,response_drought,Drought Response,cash_voucher,wash
assistance_through_voucher_distribution,response_drought,Drought Response,cash_voucher,wash
using_the_wash_gbv_checklist,response_drought,Drought Response,wash_gbv_mitigation,wash
gbv_risk_discussion_with_female_before_assistance,response_drought,Drought Response,wash_gbv_mitigation,wash
covid-19_mitigation_measures_in_placed,response_drought,Drought Response,accountability_quality_assurance,wash
receipt_for_technical_quality_assurance_by_the_authorities,response_drought,Drought Response,accountability_quality_assurance,wash
hand_dug_well,response_cholera,Cholera Response,water,wash
borehole,response_cholera,Cholera Response,water,wash
rainwater_system,response_cholera,Cholera Response,water,wash
shallow_well,response_cholera,Cholera Response,water,wash
reverse_osmosis_system,response_cholera,Cholera Response,water,wash
gravity_fed_water_system,response_cholera,Cholera Response,water,wash
solar_pumping_system,response_cholera,Cholera Response,water,wash
piped_extension,response_cholera,Cholera Response,water,wash
water_kiosk,response_cholera,Cholera Response,water,wash
family_water_kit_distribution,response_cholera,Cholera Response,water,wash
water_quality_testing,response_cholera,Cholera Response,water,wash
water_supply_community,response_cholera,Cholera Response,water,wash
water_supply_health_facility,response_cholera,Cholera Response,water,wash
piped_water_network,response_cholera,Cholera Response,water,wash
water_tank,response_cholera,Cholera Response,water,wash
water_tankering,response_cholera,Cholera Response,water,wash
education_water,response_cholera,Cholera Response,water,wash
water_treatment,response_cholera,Cholera Response,water,wash
water_filtration,response_cholera,Cholera Response,water,wash
water_supply_school,response_cholera,Cholera Response,water,wash
latrine_stalls_communal,response_cholera,Cholera Response,sanitation,wash
latrine_stalls_school,response_cholera,Cholera Response,sanitation,wash
latrine_stalls_household,response_cholera,Cholera Response,sanitation,wash
latrine_stalls_health_facility,response_cholera,Cholera Response,sanitation,wash
latrine_stalls_decommissioned,response_cholera,Cholera Response,sanitation,wash
latrine_stalls_desludged,response_cholera,Cholera Response,sanitation,wash
septic_tank,response_cholera,Cholera Response,sanitation,wash
sewer_line,response_cholera,Cholera Response,sanitation,wash
solid_waste_management,response_cholera,Cholera Response,sanitation,wash
drainage_provision,response_cholera,Cholera Response,sanitation,wash
education_vector_control_awareness,response_cholera,Cholera Response,sanitation,wash
washing_facilities,response_cholera,Cholera Response,sanitation,wash
education_hygiene_promotion_household_community,response_cholera,Cholera Response,hygiene,wash
education_hygiene_promotion_school,response_cholera,Cholera Response,hygiene,wash
hygiene_promotion_health_facilities,response_cholera,Cholera Response,hygiene,wash
hand_washing_facilities,response_cholera,Cholera Response,hygiene,wash
family_hygiene_kits_distributed,response_cholera,Cholera Response,hygiene,wash
latrine_cleaning_kit,response_cholera,Cholera Response,sanitation,wash
disinfection_common_places_chlorine,response_cholera,Cholera Response,hygiene,wash
assessment_wash_health_facility,response_cholera,Cholera Response,assessment,wash
assessment_wash_community,response_cholera,Cholera Response,assessment,wash
evaluation_baseline,response_cholera,Cholera Response,evaluation,wash
assessment_wash_school,response_cholera,Cholera Response,assessment,wash
evaluation_endline,response_cholera,Cholera Response,evaluation,wash
evaluation_crm,response_cholera,Cholera Response,evaluation,wash
evaluation_results_monitoring,response_cholera,Cholera Response,evaluation,wash
evaluation_fgd,response_cholera,Cholera Response,evaluation,wash
evaluation_kap,response_cholera,Cholera Response,evaluation,wash
evaluation_kii,response_cholera,Cholera Response,evaluation,wash
evaluation_csi,response_cholera,Cholera Response,evaluation,wash
assistance_through_cash_distribution,response_cholera,Cholera Response,cash_voucher,wash
assistance_through_voucher_distribution,response_cholera,Cholera Response,cash_voucher,wash
using_the_wash_gbv_checklist,response_cholera,Cholera Response,wash_gbv_mitigation,wash
gbv_risk_discussion_with_female_before_assistance,response_cholera,Cholera Response,wash_gbv_mitigation,wash
covid-19_mitigation_measures_in_placed,response_cholera,Cholera Response,accountability_quality_assurance,wash
receipt_for_technical_quality_assurance_by_the_authorities,response_cholera,Cholera Response,accountability_quality_assurance,wash
