activity_description_id,indicator_id,indicator_name
dental_care_activities,number_of_of_women_men_girls_and_boys_who_received_dental_care_services_all_types,"Number of of women, men, girls and boys who received dental care services (all types)"
psychosocial_and_psychological_activities,number_of_women_men_girls_and_boys_who_receive_individual_focused_psychosocial_and_psychological_care_such_as_psychological_first_aid_linking_people_with_psychosocial_problems_to_resources_and_services_case_management_psychological_counselling_psychotherapy_or_other_psychological_interventions,"Number of women, men, girls and boys who receive individual focused psychosocial and psychological care (such as psychological first aid, linking people with psychosocial problems to resources and services, case management, psychological counselling, psychotherapy or other psychological interventions)"
live_deliveries_in_health_facilities,number_of_live_births_delivered_at_health_facility,Number of live births delivered at health facility
stillbirths_in_health_facilities,number_of_stillbirths_delivered_at_health_facility,Number of stillbirths delivered at health facility
chw_household_visits,number_of_household_to_household_visits_conducted_by_community_health_volunteers,Number of household to household visits conducted by community health volunteers
community_psychosocial_activities,number_of_women_men_girls_and_boys_who_participate_in_community_based_psychosocial_group_activities_such_as_support_groups_psychoeducation_groups_or_psychosocial_activities,"Number of women, men, girls and boys who participate in community based psychosocial group activities (such as support groups, psychoeducation groups or psychosocial activities)"
chw_community_sessions,number_community_sessions_conducted_by_community_health_workers,Number community sessions conducted by community health workers
fund_healthcare_workers_at_government_health_facilities,number_of_human_resources_employed_at_government_health_facilities,Number of human resources employed at Government health facilities
case_management,number_of_doctors_nurses_midwives_trained_on_case_management,"Number of doctors, nurses, midwives trained on Case Management"
diarrhea_hygiene_promotion,number_of_doctors_nurses_midwives_trained_on_immunisation,"Number of doctors, nurses, midwives trained on Immunisation"
first_aid,number_of_doctors_nurses_midwives_trained_on_immunisation,"Number of doctors, nurses, midwives trained on Immunisation"
employ_healthcare_workers_at_ngo_health_facilities,number_of_human_resources_employed_at_ngo_health_facilities,Number of human resources employed at NGO health facilities
immunisation,number_of_doctors_nurses_midwives_trained_on_immunisation,"Number of doctors, nurses, midwives trained on Immunisation"
mhpss,number_of_doctors_nurses_midwives_trained_on_mhpss,"Number of doctors, nurses, midwives trained on MHPSS"
sexual_and_reproductive_health,number_of_doctors_nurses_midwives_trained_on_sexual_and_reproductive_health,"Number of doctors, nurses, midwives trained on Sexual and Reproductive Health"
household_water_treatment_aquatabs,no_of_aquatabs_per_hh_per_day,# of aquatabs per HH per day
cash_for_work_water,n_a,
ring-well_construction_rehabilitation,total_number_of_water_points_constructed,Total number of water points constructed
spring_catchment_distribution_system,total_number_of_spring_catchment_water_distribution_systems,Total number of spring catchment water distribution systems
household_water_treatment_ultra-filtration_device,distribution_of_household_ultra_filtration_device,Distribution of household ultra-filtration device
surface_water_production_distribution_system,production_of_surface_water_in_cubic_meters_day,Production of surface water in cubic meters/day
"tube-well,_decommissioning",net_total_number_of_tube_wells_decommissioned,Net total number of tube wells decommissioned
"tube-well,_deep_tube-well_construction_rehabilitation",total_number_of_water_points_constructed,Total number of water points constructed
"tube-well,_repair_maintenance_operations",number_of_tube_wells_repaired_and_maintained,Number of tube wells repaired and maintained
"tube-well,_shallow_tube-well_construction_rehabilitation",total_number_of_water_points_constructed,Total number of water points constructed
water_quality_testing,%_of_monitored_facilities_providing_clean_water,% of monitored facilities providing clean water
water_trucking,number_of_hhs_served_by_water_trucking_per_day,Number of HHs served by water trucking per day
submersible_pump_distribution_system,number_of_submersible_pumps_installed,Number of submersible pumps installed
other_water,n_a,
"bathing_facilities,_construction",total_number_of_bathing_facilities_constructed,Total number of bathing facilities constructed
"bathing_facilities,_repair_maintenance",total_number_of_bathing_facilities_maintained,Total number of bathing facilities maintained
bio-gas_plant_construction,net_total_number_of_latrines_constructed,Net total number of latrines constructed
fsm_anaerobic_filter,total_number_of_fsm_sites,Total number of FSM sites
cash_for_work_sanitation,n_a,
fsm_constructed_wetland,total_number_of_fsm_sites,Total number of FSM sites
fsm_lime_stabilization,total_number_of_fsm_sites,Total number of FSM sites
fsm_biological_treatment,total_number_of_fsm_sites,Total number of FSM sites
"handwashing,_construction_of_handwashing_facilities",total_number_of_handwashing_facilities_constructed,Total number of handwashing facilities constructed
"handwashing,_repair_maintenance_operations",total_number_of_handwashing_facilities_repaired_and_maintained,Total number of handwashing facilities repaired and maintained
"latrines,_bio-fill_latrine",net_total_number_of_latrines_constructed,Net total number of latrines constructed
"latrines,_bio-gas_latrine_construction",net_total_number_of_latrines_constructed,Net total number of latrines constructed
fsm_up_flow_filtration,total_number_of_fsm_sites,Total number of FSM sites
"latrines,_child_friendly",net_total_number_of_child_friendly_latrines_constructed,Net total number of child friendly latrines constructed
"latrines,_decommissioning",number_of_latrines_are_reported_to_be_decommissioned_reflected_in_the_net_total_latrines_constructed_indicator_above,Number of latrines are reported to be decommissioned (reflected in the net total latrines constructed indicator above)
"latrines,_disabled_friendly_",net_total_number_of_disabled_friendly_latrines_constructed,Net total number of disabled friendly latrines constructed
"latrines,_desludging",number_of_latrines_are_reported_dislodging,Number of latrines are reported dislodging
"latrines,_emergency_construction",net_total_number_of_latrines_constructed,Net total number of latrines constructed
"latrines,_female_segregated_semi-permanent_household_latrine_construction",number_of_female_only_latrines,Number of female-only latrines
"latrines,_permanent_communal_block_latrine_construction",net_total_number_of_latrines_constructed,Net total number of latrines constructed
"latrines,_female_segregated_semi-permanent_communal_block_latrine_construction",number_of_female_only_latrines,Number of female-only latrines
"latrines,_repair_maintenance_operations",total_number_of_latrines_maintained,Total number of latrines maintained
"latrines,_permanent_household_latrine_construction",net_total_number_of_latrines_constructed,Net total number of latrines constructed
"latrines,_semi-permanent_household_latrine_construction",net_total_number_of_latrines_constructed,Net total number of latrines constructed
"latrines,_semi-permanent_communal_block_latrine_construction",net_total_number_of_latrines_constructed,Net total number of latrines constructed
other_sanitation,n_a,
community_hygiene_promotion_sessions_group,community_hygiene_promotion_sessions_group,Community hygiene promotion sessions (Group)
community_hygiene_promotion_sessions_hh,community_hygiene_promotion_sessions_hh,Community hygiene promotion sessions (HH)
distribution_of_hygiene_items_voucher,total_number_of_hygiene_kits_jc_top_up_kits_voucher_distributed,Total number of hygiene kits/JC/top up kits/voucher distributed
distribution_of_hygiene_kits,total_number_of_hygiene_kits_jc_top_up_kits_voucher_distributed,Total number of hygiene kits/JC/top up kits/voucher distributed
distribution_of_hygiene_top-up_kits,total_number_of_hygiene_kits_jc_top_up_kits_voucher_distributed,Total number of hygiene kits/JC/top up kits/voucher distributed
distribution_of_jerry_cans_buckets,total_number_of_hygiene_kits_jc_top_up_kits_voucher_distributed,Total number of hygiene kits/JC/top up kits/voucher distributed
distribution_of_menstrual_hygiene_materials_mhm,distribution_of_mhm_materials,Distribution of MHM materials
hygiene_promotion_capacity,hygiene_promotion_capacity,Hygiene promotion capacity
cash_for_work_hygiene,n_a,
cash_for_work_please_specify_in_remarks,n_a,
decommissioning_of_solid_waste_pit_construction,number_of_solid_waste_pits_decommissioned,Number of solid waste pits decommissioned
solid_waste_collection,amount_of_solid_waste_collected,Amount of solid waste collected
waste_bins_provision,number_of_individual_waste_bins_provided,Number of individual waste bins provided
other_hygiene,n_a,
cash_for_solid_waste,n_a,
gbv_response,no_of_individuals_benefiting_from_structured_PSS_services_that_meet_minimum_standards_by_age_sex_refugee_host,"# of individuals benefiting from structured PSS services that meet minimum standards (by age, sex, refugee/host)"
waste_pit_construction,number_of_waste_pits_constructed,Number of waste pits constructed
gbv_response,no_of_women_and_girls_supported_with_dignity_kits,# of women and girls supported with dignity kits
gbv_prevention,no_of_women_and_girls_benefiting_from_structured_skills_and_empowerment_programming_by_age,# of women and girls benefiting from structured skills and empowerment programming (by age)
gbv_response,no_of_service_providers_and_other_humanitarian_actors_trained_on_GBV_standards,# of service providers and other humanitarian actors trained on GBV standards
gbv_prevention,no_of_men_and_boys_who_participated_in_targeted_GBV_prevention_program,# of men and boys who participated in targeted GBV prevention program
gbv_prevention,no_refugees_and_host_community_members_trained_on_GBV_response_and_prevention_by_age_and_sex,"# refugees and host community members trained on GBV response and prevention, by age and sex"
gbv_prevention,no_of_youth_and_adolescents_who_participated_in_youth_adolescent_targeted_GBV_prevention_program,# of youth and adolescents who participated in youth/adolescent targeted GBV prevention program
gbv_prevention,no_of_safety_audits_conducted,# of safety audits conducted
gbv_prevention,no_of_persons_benefiting_from_awareness_activities_that_include_general_information_on_GBV_and_available_GBV_services_by_age_sex_refugee_host,"# of persons benefiting from awareness activities that include general information on GBV and available GBV services (by age, sex, refugee/host)"
adolescents,no_of_adolescence_and_youth_development_hubs_established_delivering_social_cohesion_activities,# of adolescence and youth development hubs established delivering social cohesion activities
adolescents,no_of_adolescents_and_youth_receiving_services_including_life_skills_hands_on_skills_and_reliance_activities,"# of adolescents and youth receiving services, including life skills, hands on skills and reliance activities"
alternative_care,no_of_identified_children_who_are_in_alternative_care,# of identified children who are in alternative care
adolescents,no_of_adolescent_groups_clubs_established_and_strengthened,# of adolescent groups / clubs established and strengthened
case_management,no_of_identified_children_at_risk_who_received_individual_case_management_services_to_meet_their_unique_needs,# of identified children at risk who received individual case management services to meet their unique needs
alternative_care,no_of_children_in_alternative_care_who_are_receiving_regular_follow_services,# of children in alternative care who are receiving regular follow services
cp_capacity_building,no_of_child_protection_staff_enrolled_and_receiving_learning_and_development_support_on_specialized_services,# of child protection staff enrolled and receiving learning and development support on specialized services
cp_capacity_building,no_of_child_protection_staff_trained_on_key_child_protection_approaches_delivered_to_government_local_actors_and_humanitarian_actors,"# of child protection staff trained on key child protection approaches delivered to government,local actors and humanitarian actors"
cp_capacity_building,no_of_non_child_protection_staff_trained_on_child_protection_principles_approaches_child_safeguarding_PSEA,"# of non-child protection staff trained on child protection principles,approaches,child safeguarding PSEA"
cp_community_engagement,no_of_community_based_child_protection_mechanisms_structures_strengthened,# of community based child protection mechanisms/structures strengthened
cp_community_engagement,no_of_girls_boys_women_and_men_reached_by_awareness_sessions,"# of girls, boys, women and men reached by awareness sessions"
cp_community_engagement,no_of_members_of_community_based_child_protection_structures_trained_on_CP_approaches_and_are_actively_preventing_and_responding_to_child_protection_needs,# of members of community based child protection structures trained on CP approaches and are actively preventing and responding to child protection needs
cp_community_engagement,no_of_people_reached_by_community_led_prevention_messaging_on_key_child_protection_risks_and_social_norms,# of people reached by community led prevention messaging on key child protection risks and social norms
cp_community_engagement,no_of_fathers_mothers_and_other_caregivers_who_have_participated_in_positive_parenting_skills_session,"# of fathers,mothers and other caregivers who have participated in positive parenting skills session"
cp_system_strengthening,inter_agency_child_protection_situation_and_alert_system_for_child_rights_violations_including_trafficking_in_place,"inter-agency child protection situation and alert system for child rights violations, including trafficking, in place"
specialized_services,no_of_children_including_adolescents_identified_in_need_who_are_receiving_structured_PSS_services,"# of children, including adolescents, identified in need who are receiving structured PSS services"
cp_system_strengthening,no_of_case_management_SOPs_for_national_government_and_humanitarian_actors_are_aligned,# of case management SOPs for national government and humanitarian actors are aligned
uasc_and_children_at_risk,no_of_separated_girls_and_boys_identified_and_documented,# of separated girls and boys identified and documented
specialized_services,no_of_Child_Friendly_Spaces_adolescent_space_and_child_protection_hubs_providing_structured_and_specialised_service_to_girls_and_boys,"# of Child Friendly Spaces, adolescent space and child protection hubs providing structured and specialised service to girls and boys"
uasc_and_children_at_risk,no_of_girls_and_boys_at_risk_of_violence_abuse_and_exploitation_identified_and_documented,"# of girls and boys at risk of violence,abuse and exploitation identified and documented"
uasc_and_children_at_risk,no_of_unaccompanied_girls_and_boys_identified_and_documented,# of unaccompanied girls and boys identified and documented
uasc_and_children_at_risk,no_of_identified_temporary_lost_girls_and_boys,# of identified temporary lost girls and boys
uasc_and_children_at_risk,no_of_identified_unaccompanied_and_separated_girls_and_boys_children_who_are_reunified_with_their_parents_or_caregivers,# of identified unaccompanied and separated girls and boys children who are reunified with their parents or caregivers
access_to_territory_and_legal_assistance,no_of_border_monitoring_briefs_produced,# of border monitoring briefs produced
uasc_and_children_at_risk,no_of_temporary_lost_girls_and_boys_who_have_been_reunified_with_their_parents_or_caregivers,# of temporary lost girls and boys who have been reunified with their parents or caregivers
access_to_territory_and_legal_assistance,no_of_situational_protection_reports_produced_by_the_PWG_based_on_protection_monitoring_FGD_and_camp_protection_profiles_findings,"# of situational protection reports produced by the PWG, based on protection monitoring, FGD and camp protection profiles findings"
access_to_territory_and_legal_assistance,no_of_refugees_provided_with_legal_advice_and_counselling_including_victims_of_trafficking_and_exploitation_by_age_and_sex,"# of refugees provided with legal advice and counselling including victims of trafficking and exploitation, by age and sex"
access_to_territory_and_legal_assistance,no_of_advocacy_interventions_for_the_promotion_of_and_respect_for_refugees_rights,# of advocacy interventions for the promotion of and respect for refugees' rights
capacity_building,no_of_initiatives_with_government_officials_that_builds_capacity_to_protect_and_deliver_quality_services,"# of initiatives with government officials that builds capacity, to protect and deliver quality services"
access_to_territory_and_legal_assistance,no_of_cases_supported_with_legal_aid_and_related_services_including_victims_of_trafficking_and_exploitation_by_age_and_sex,"# of cases supported with legal aid and related services including victims of trafficking, and exploitation by age and sex"
capacity_building,no_of_other_service_providers_trained_on_protection_principles_including_GBV_response_child_protection_and_PSEA_CoC_by_sex,"# of other service providers trained on protection principles including GBV response, child protection and PSEA, CoC, by sex"
capacity_building,no_of_dedicated_protection_staff_trained_on_enhanced_technical_protection_skills,# of dedicated protection staff trained on enhanced technical protection skills
community_based_protection,no_of_adolescent_and_youth_development_hubs_established_and_supported_who_lead_on_participatory_assessment_design_and_monitoring,"# of adolescent and youth development hubs established and supported who lead on participatory assessment, design and monitoring"
community_based_protection,no_of_people_reached_by_community_led_messaging_on_key_protection_risks,# of people reached by community-led messaging on key protection risks
community_based_protection,no_of_community_led_initiatives_supported_by_humanitarian_actors,# of community-led initiatives supported by humanitarian actors
persons_with_specific_needs,no_of_people_at_heightened_risk_identified_and_supported_through_protection_case_management_mechanism_not_including_CP_and_GBV,# of people at heightened risk identified and supported through protection case management mechanism (not including CP and GBV)
registration_documentation,%_of_persons_of_concern_for_whom_data_disaggregated_by_sex_age_location_and_specific_needs_is_available,"% of persons of concern for whom data disaggregated by sex, age, location and specific needs is available"
registration_documentation,%_of_persons_of_concern_provided_with_individual_documentation_based_on_comprehensive_and_unified_database_by_age_and_sex,% of persons of concern provided with individual documentation based on comprehensive and unified database by age and sex
social_cohesion_and_system_strengthening,no_of_joint_initiatives_that_foster_social_cohesion_between_refugees_and_host_community,# of joint initiatives that foster social cohesion between refugees and host community
age_group_3_to_5_benefiting_from_supplies,no_in_age_group_3_to_5_receiving_standardized_education_materials,# in age group 3 to 5 receiving standardized education materials
age_group_6_to_14_benefiting_from_supplies,no_in_age_group_6_to_14_receiving_standardized_education_materials,# in age group 6 to 14 receiving standardized education materials
age_group_15_to_17_benefiting_from_supplies,no_in_age_group_15_to_17_receiving_standardized_education_materials,# in age group 15 to 17 receiving standardized education materials
age_group_18_to_24_benefiting_from_supplies,no_in_age_group_18_to_24_receiving_standardized_education_materials,# in age group 18 to 24 receiving standardized education materials
teachers_benefiting_from_supplies,no_of_teachers_receiving_standardized_education_materials,# of Teachers receiving standardized education materials
foundational_teaching_and_content,no_of_teachers_receiving_foundational_teaching_and_content,# of Teachers receiving Foundational Teaching and Content
learning_facilities_established,no_of_learning_facilities_established_in_refugee_community,# of learning facilities established in refugee community
classrooms_in_learning_facilities_established,no_of_classrooms_inside_the_established_learning_facilities_in_refugee_community,# of classrooms inside the established learning facilities in refugee community
shifts_in_learning_spaces_classrooms,no_of_shifts_taking_place_inside_the_learning_spaces_classrooms_in_refugee_community,# of shifts taking place inside the learning spaces/classrooms in refugee community
pss_training_received,no_of_teachers_receiving_pss_training,# of Teachers receiving PSS Training
functional_community_latrines,no_of_functional_community_latrines_near_the_learning_facility,# of Functional Community Latrines near the learning facility
handwashing_stations_established,no_of_handwashing_station_established,# of Handwashing Station Established
children_rights_to_education_sensitization,no_of_community_members_sensitized_on_child_rights_and_the_importance_of_education_actively_engaged_in_improving_the_enrolment_and_retention_of_students.,# of community members sensitized on child rights and the importance of education actively engaged in improving the enrolment and retention of students.
lcmc_established,no_of_refugee_learning_centre_management_committees_school_management_committees_established_in_refugee_camps,# of Refugee Learning Centre Management Committees/School Management Committees established in Refugee Camps
social_cohesion_initiatives,no_of_community_members_25_and_above_engaged_in_refugee_community_for_social_cohesion_initiatives_co_curricular_activities,# of community members 25 and above engaged in refugee community for social cohesion initiatives (co-curricular activities)
food_assistance_in_kind,no_of_shock_affected_and_vulnerable_idps_returnees_refugees_natural_disaster_affecteds_people_affected_by_covid_19_and_seasonaly_food_insecure_ipc_phase_3_and_4_people_women_men_and_children_of_all_ages_who_receive_adequate_food_cash_responses_in_a_timely_manner.,"# of shock affected and vulnerable (IDPs, returnees, refugees, natural disaster affecteds, people affected by COVID-19, and seasonaly food insecure IPC phase 3 and 4 people) women, men and children of all ages who receive adequate food/cash responses in a timely manner."
food_assistance,no_of_returnee_and_refugee_women_men_and_children_of_all_ages_who_receive_adequate_in_kind_responses_in_a_timely_manner.,"# of returnee and refugee women, men and children of all ages who receive adequate in-kind responses, in a timely manner."
food_assistance,no_of_conflict_affected_idps_women_men_and_children_of_all_ages_who_receive_adequate_in_kind_responses_in_a_timely_manner.,"# of conflict affected IDPs women, men and children of all ages who receive adequate in-kind responses, in a timely manner."
food_assistance,no_of_conflict_affected_idp_women_men_and_children_of_all_ages_who_receive_adequate_cash_assistance_in_a_timely_manner.,"# of conflict affected IDP women, men and children of all ages who receive adequate cash assistance, in a timely manner."
food_assistance,no_of_returnee_and_refugee_women_men_and_children_of_all_ages_who_receive_adequate_cash_assistance_in_a_timely_manner.,"# of returnee and refugee women, men and children of all ages who receive adequate cash assistance, in a timely manner."
food_assistance,no_of_pakistani_refugees_women_men_and_children_of_all_ages_who_receive_adequate_cash_assistance_in_a_timely_manner.,"# of Pakistani refugees women, men and children of all ages who receive adequate cash assistance, in a timely manner."
food_assistance,no_of_drought_affected_people_men_and_children_of_all_ages_who_receive_adequate_in_kind_responses_in_a_timely_manner.,"# of drought affected people, men and children of all ages who receive adequate in-kind responses, in a timely manner."
food_assistance,no_of_drought_induced_idps_men_and_children_of_all_ages_who_receive_adequate_in_kind_responses_in_a_timely_manner.,"# of drought induced IDPs, men and children of all ages who receive adequate in-kind responses, in a timely manner."
food_assistance,no_of_natural_disaster_affected_people_flash_floods_avalanches_earthquakes_rust_etc.._men_and_children_of_all_ages_who_receive_adequate_in_kind_responses_in_a_timely_manner.,"# of natural disaster affected people (flash floods, avalanches, earthquakes, rust etc..), men and children of all ages who receive adequate in-kind responses, in a timely manner."
food_assistance,no_of_pakistani_refugees_women_men_and_children_of_all_ages_who_receive_adequate_in_kind_responses_in_a_timely_manner.,"# of Pakistani refugees women, men and children of all ages who receive adequate in-kind responses, in a timely manner."
food_assistance,no_of_drought_affected_people_men_and_children_of_all_ages_who_receive_adequate_cash_assistance_in_a_timely_manner.,"# of drought affected people, men and children of all ages who receive adequate cash assistance, in a timely manner."
food_assistance,no_of_natural_disaster_affected_people_flash_floods_avalanches_earthquakes_rust_etc.._men_and_children_of_all_ages_who_receive_adequate_cash_assistance_in_a_timely_manner.,"# of natural disaster affected people (flash floods, avalanches, earthquakes, rust etc..), men and children of all ages who receive adequate cash assistance, in a timely manner."
food_assistance,no_of_drought_induced_idps_men_and_children_of_all_ages_who_receive_adequate_cash_assistance_in_a_timely_manner.,"# of drought induced IDPs, men and children of all ages who receive adequate cash assistance, in a timely manner."
livelihood_support_agriculture,no_of_drought_affected_people_women_men_and_children_of_all_ages_who_receive_adequate_livelihoods_responses_in_a_timely_manner.livelihood_support_agriculture,"# of drought affected people, women, men and children of all ages who receive adequate livelihoods responses, in a timely manner."
livelihood_support,no_covid_19_affected_people_who_receive_disinfecting_hygiene_and_awareness_support_for_covid_19_minimization,"# COVID-19 affected people who receive disinfecting, hygiene and awareness support for COVID-19 minimization"
livelihood_support_agriculture,no_of_drought_induced_idps_women_men_and_children_of_all_ages_who_receive_adequate_livelihoods_responses_in_a_timely_manner.livelihood_support_agriculture,"# of drought induced IDPs, women, men and children of all ages who receive adequate livelihoods responses, in a timely manner."
livelihood_support_agriculture,no_of_natural_disaster_affected_people_women_men_and_children_of_all_ages_who_receive_adequate_livelihoods_responses_in_a_timely_manner.livelihood_support_agriculture,"# of natural disaster affected people, women, men and children of all ages who receive adequate livelihoods responses, in a timely manner."
livelihood_support_agriculture,no_of_returnees_women_men_and_children_of_all_ages_who_receive_adequate_livelihoods_responses_in_a_timely_manner.livelihood_support_agriculture,"# of returnees, women, men and children of all ages who receive adequate livelihoods responses, in a timely manner."
livelihood_support_livestock,no_of_drought_affected_people_women_men_and_children_of_all_ages_who_receive_adequate_livelihoods_responses_in_a_timely_manner.livelihood_support_livestock,"# of drought affected people, women, men and children of all ages who receive adequate livelihoods responses, in a timely manner."
livelihood_support_livestock,no_of_natural_disaster_affected_people_women_men_and_children_of_all_ages_who_receive_adequate_livelihoods_responses_in_a_timely_manner.livelihood_support_livestock,"# of natural disaster affected people, women, men and children of all ages who receive adequate livelihoods responses, in a timely manner."
livelihood_support_livestock,no_of_returnees_women_men_and_children_of_all_ages_who_receive_adequate_livelihoods_responses_in_a_timely_manner.livelihood_support_livestock,"# of returnees, women, men and children of all ages who receive adequate livelihoods responses, in a timely manner."
livelihood_support_livestock,no_of_drought_induced_idps_women_men_and_children_of_all_ages_who_receive_adequate_livelihoods_responses_in_a_timely_manner.livelihood_support_livestock,"# of drought induced IDPs, women, men and children of all ages who receive adequate livelihoods responses, in a timely manner."
hand_tools_distribution,no_of_drought_affected_people_women_men_and_children_of_all_ages_who_receive_adequate_livelihoods_responses_in_a_timely_manner.hand_tools_distribution,"# of drought affected people, women, men and children of all ages who receive adequate livelihoods responses, in a timely manner."
hand_tools_distribution,no_of_natural_disaster_affected_people_women_men_and_children_of_all_ages_who_receive_adequate_livelihoods_responses_in_a_timely_manner.hand_tools_distribution,"# of natural disaster affected people, women, men and children of all ages who receive adequate livelihoods responses, in a timely manner."
hand_tools_distribution,no_of_drought_induced_idps_women_men_and_children_of_all_ages_who_receive_adequate_livelihoods_responses_in_a_timely_manner.hand_tools_distribution,"# of drought induced IDPs, women, men and children of all ages who receive adequate livelihoods responses, in a timely manner."
hand_tools_distribution,no_of_returnees_women_men_and_children_of_all_ages_who_receive_adequate_livelihoods_responses_in_a_timely_manner.hand_tools_distribution,"# of returnees, women, men and children of all ages who receive adequate livelihoods responses, in a timely manner."
atención_por_medicina_general,número_de_mujeres_y_hombres_victimas_de_la_violencia_y_o_desastres_que_se_benefician_de_los_servicios_de_salud._número_de_personas_que_reciben_atención_de_medicina_general.,Número de mujeres y hombres victimas de la violencia y/o desastres que se benefician de los servicios de salud. - Número de personas que reciben atención de medicina general.
atención_por_enfermería,número_de_mujeres_y_hombres_victimas_de_la_violencia_y_o_desastres_que_se_benefician_de_los_servicios_de_salud._no_aplica,Número de mujeres y hombres victimas de la violencia y/o desastres que se benefician de los servicios de salud. - No aplica
atención_en_salud_maternoperinatal,"número_de_mujeres,_niños,_niñas_y_adolescentes_que_se_benefician_de_acciones_de_salud_sexual_y_reproductiva,_salud_mental_y_materno_perinatal._número_de_gestantes_que_reciben_atención_prenatal_maternoperinatal.","Número de mujeres, niños, niñas y adolescentes que se benefician de acciones de salud sexual y reproductiva, salud mental y materno perinatal. - Número de gestantes que reciben atención prenatal/maternoperinatal."
personal_para_vacunación,número_de_mujeres_y_hombres_victimas_de_la_violencia_y_o_desastres_que_se_benefician_de_los_servicios_de_salud._no_aplica,Número de mujeres y hombres victimas de la violencia y/o desastres que se benefician de los servicios de salud. - No aplica
atención_en_salud_en_planificación_familiar,"número_de_mujeres,_niños,_niñas_y_adolescentes_que_se_benefician_de_acciones_de_salud_sexual_y_reproductiva,_salud_mental_y_materno_perinatal._número_de_personas_que_reciben_atención_en_planificación_familiar,_ive,_tratamiento_de_its,_vih_sida,_hb,_hc_y_anticoncepción_de_emergencia.","Número de mujeres, niños, niñas y adolescentes que se benefician de acciones de salud sexual y reproductiva, salud mental y materno perinatal. - Número de personas que reciben atención en planificación familiar, IVE, tratamiento de ITS, VIH/SIDA, HB, HC y anticoncepción de emergencia."
atención_en_salud_en_ive,"número_de_mujeres,_niños,_niñas_y_adolescentes_que_se_benefician_de_acciones_de_salud_sexual_y_reproductiva,_salud_mental_y_materno_perinatal._número_de_personas_que_reciben_atención_en_planificación_familiar,_ive,_tratamiento_de_its,_vih_sida,_hb,_hc_y_anticoncepción_de_emergencia.","Número de mujeres, niños, niñas y adolescentes que se benefician de acciones de salud sexual y reproductiva, salud mental y materno perinatal. - Número de personas que reciben atención en planificación familiar, IVE, tratamiento de ITS, VIH/SIDA, HB, HC y anticoncepción de emergencia."
atención_en_salud_en_vih_sida,"número_de_mujeres,_niños,_niñas_y_adolescentes_que_se_benefician_de_acciones_de_salud_sexual_y_reproductiva,_salud_mental_y_materno_perinatal._número_de_personas_que_reciben_atención_en_planificación_familiar,_ive,_tratamiento_de_its,_vih_sida,_hb,_hc_y_anticoncepción_de_emergencia.","Número de mujeres, niños, niñas y adolescentes que se benefician de acciones de salud sexual y reproductiva, salud mental y materno perinatal. - Número de personas que reciben atención en planificación familiar, IVE, tratamiento de ITS, VIH/SIDA, HB, HC y anticoncepción de emergencia."
atención_en_salud_en_its_hb_hc,"número_de_mujeres,_niños,_niñas_y_adolescentes_que_se_benefician_de_acciones_de_salud_sexual_y_reproductiva,_salud_mental_y_materno_perinatal._número_de_personas_que_reciben_atención_en_planificación_familiar,_ive,_tratamiento_de_its,_vih_sida,_hb,_hc_y_anticoncepción_de_emergencia.","Número de mujeres, niños, niñas y adolescentes que se benefician de acciones de salud sexual y reproductiva, salud mental y materno perinatal. - Número de personas que reciben atención en planificación familiar, IVE, tratamiento de ITS, VIH/SIDA, HB, HC y anticoncepción de emergencia."
atención_por_nutrición,número_de_mujeres_y_hombres_victimas_de_la_violencia_y_o_desastres_que_se_benefician_de_los_servicios_de_salud._número_de_niñas_y_niños_menores_de_cinco_años_con_dnt_aguda_atendidos.,Número de mujeres y hombres victimas de la violencia y/o desastres que se benefician de los servicios de salud. - Número de niñas y niños menores de cinco años con DNT aguda atendidos.
atención_en_salud_en_anticoncepción_de_emergencia,"número_de_mujeres,_niños,_niñas_y_adolescentes_que_se_benefician_de_acciones_de_salud_sexual_y_reproductiva,_salud_mental_y_materno_perinatal._número_de_personas_que_reciben_atención_en_planificación_familiar,_ive,_tratamiento_de_its,_vih_sida,_hb,_hc_y_anticoncepción_de_emergencia.","Número de mujeres, niños, niñas y adolescentes que se benefician de acciones de salud sexual y reproductiva, salud mental y materno perinatal. - Número de personas que reciben atención en planificación familiar, IVE, tratamiento de ITS, VIH/SIDA, HB, HC y anticoncepción de emergencia."
atención_medica_a_víctimas_de_violencia_sexual_y_o_vbg,número_de_mujeres_y_hombres_victimas_de_la_violencia_y_o_desastres_que_se_benefician_de_los_servicios_de_salud._número_de_personas_que_reciben_atención_médica_y_o_psicosocial_en_violencia_sexual.,Número de mujeres y hombres victimas de la violencia y/o desastres que se benefician de los servicios de salud. - Número de personas que reciben atención médica y/o psicosocial en violencia sexual.
otro_tipo_de_atención_atención_en_salud_maternoperinatal,número_de_mujeres_y_hombres_victimas_de_la_violencia_y_o_desastres_que_se_benefician_de_los_servicios_de_salud._número_de_gestantes_que_reciben_atención_prenatal_maternoperinatal.,Número de mujeres y hombres victimas de la violencia y/o desastres que se benefician de los servicios de salud. - Número de gestantes que reciben atención prenatal/maternoperinatal.
